RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Liberale Unie;CHU 1;Vrijzinnig-Democratische Bond (VDB);Economische Bond;Bond van Vrije Liberalen 1;Sociaal-Democratische Partij (SDP);Middenstandspartij;Christen-Democratische Partij;CHU 2;Socialistische Partij (SOPA);Bond van Vrije Liberalen 2;Bond van Christen-Socialisten;Christelijk-Sociale Partij;Neutrale Partij;Verbond Democratisering Weermacht;Algemene Staatspartij;Politie Partij;Plattelandersbond (links);Staatkundig Gereformeerde Partij (SGP);Plattelandersbond (rechts);Algemeen Vrijzinnige Partij;Groep Van der Zwaag;Groep Alberda;Groep Kuiper;Amsterdamse Politie- en Brandweerpartij;Nationale Bond van Protestantse Kiezers;Unionisten-Liga (Volkswelvaartspartij);Neutrale en Koloniale Bond;Volkspartij;Groep Stoffel;Groep Braam
Gronsveld;G0911;10323;Limburg;P31;568;541;0;;541;513;18;;;;3;4;1;;;;;;;;;;;2;;;;;;;;;;;;;;;
Groot-Ammers;G0520;11205;Zuid-Holland;P28;384;355;0;;355;3;6;192;89;3;9;1;13;;2;3;6;;2;3;1;;2;;;;1;17;2;;;;;;;;;;
Grootebroek;G0391;11337;Noord-Holland;P27;828;799;0;;799;631;27;3;62;9;25;9;;1;1;2;;;;28;;;;;1;;;;;;;;;;;;;;
Grootegast;G0015;11080;Groningen;P20;1562;1444;0;;1444;8;201;738;10;106;281;7;3;27;8;16;1;;7;1;17;2;2;2;3;2;;2;;;;;;;;;;;
Grubbenvorst;G0912;10176;Limburg;P31;469;442;0;;442;429;5;;4;;;;;;;;;;;;1;1;;2;;;;;;;;;;;;;;;
Gulpen;G0913;11032;Limburg;P31;675;600;0;;600;527;44;;2;;15;1;1;;;;;;;;;1;;8;1;;;;;;;;;;;;;;
Haaften;G0242;10125;Gelderland;P25;653;613;0;;613;5;205;195;1;104;10;3;37;1;1;2;1;;15;19;;;3;3;2;;6;;;;;;;;;;;;
Haaksbergen;G0158;11435;Overijssel;P23;1543;1451;0;;1451;969;219;16;27;7;41;8;10;1;2;;2;;9;1;1;;;2;2;130;1;3;;;;;;;;;;;
Haamstede;G1068;10701;Zeeland;P29;302;282;0;;282;1;26;111;94;18;2;2;2;2;7;;2;;;2;;;;1;3;9;;;;;;;;;;;;;
Haaren;G0788;11155;Noord-Brabant;P30;472;455;0;;455;452;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Haarlem;G0392;10357;Noord-Holland;P27;17473;15158;0;;15158;4260;4552;713;546;648;863;1299;259;608;172;129;23;34;324;209;15;84;152;92;15;;;;;;;;;122;39;;;;
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;1009;910;0;;910;424;126;102;62;17;93;25;4;15;6;6;4;2;;8;2;3;8;1;1;;;;;;;;;;1;;;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;4981;4571;0;;4571;1125;471;1312;839;385;116;51;12;42;28;44;6;30;6;12;33;5;24;5;7;;;;;;;;;7;11;;;;
Haarzuilens;G1069;10737;Utrecht;P26;120;113;0;;113;99;;6;;5;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;
Haastrecht;G0521;11049;Zuid-Holland;P28;463;434;0;;434;143;31;63;99;12;35;6;2;1;4;;6;2;;8;5;1;2;;9;2;;3;;;;;;;;;;;
Haelen;G0914;10321;Limburg;P31;230;219;0;;219;217;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;
Hagestein;G0522;10297;Zuid-Holland;P28;233;219;0;;219;80;18;25;;2;2;;53;;3;4;;14;8;;1;1;;;;1;;6;;;;;;;;;1;;
Halsteren;G0789;10387;Noord-Brabant;P30;1067;984;0;;984;909;19;15;10;5;5;5;3;7;2;;;;;1;3;;;;;;;;;;;;;;;;;;
Haps;G0790;11283;Noord-Brabant;P30;288;277;0;;277;274;;;;;;;;;1;;;;;;;1;;;1;;;;;;;;;;;;;;
Harderwijk;G0243;10786;Gelderland;P25;1854;1627;0;;1627;58;367;466;26;448;13;21;53;3;36;3;9;;3;1;4;;61;5;40;;6;;;;;;4;;;;;;
Hardinxveld;G1070;10167;Zuid-Holland;P28;1409;1022;0;;1022;3;333;333;64;16;14;8;114;16;8;2;10;20;4;3;1;6;4;;;;32;22;5;;;;;;;;4;;
Haren;G0017;11058;Groningen;P20;1155;1060;0;;1060;12;300;224;161;119;118;40;11;13;6;5;1;1;8;1;2;9;2;;10;4;;5;;;;;;;;;;;8
Harenkarspel;G0395;10963;Noord-Holland;P27;698;662;0;;662;355;25;36;10;5;181;;9;2;4;7;;1;;11;;1;9;1;2;;;1;;;;;;;2;;;;
Harlingen;G0072;10909;Fryslân;P21;2447;2093;0;;2093;280;748;222;101;276;271;21;4;14;;21;5;3;15;5;26;15;7;5;19;1;;2;;13;12;7;;;;;;;
Harmelen;G0318;10183;Utrecht;P26;508;475;0;;475;220;11;125;9;20;12;6;48;1;;;;;12;;;;1;4;3;;;3;;;;;;;;;;;
Haskerland;G0073;10022;Fryslân;P21;1987;1777;0;;1777;158;607;185;96;332;102;34;19;3;;34;2;4;22;17;20;10;4;4;30;15;;3;;58;15;3;;;;;;;
Hasselt;G0161;10115;Overijssel;P23;617;499;0;;499;19;22;289;132;14;3;2;6;;;2;3;;1;3;1;2;;;;;;;;;;;;;;;;;
Hattem;G0244;10673;Gelderland;P25;940;761;0;;761;3;269;200;56;115;41;9;9;;20;1;1;;4;;19;4;1;1;4;1;;;;;;;3;;;;;;
Havelte;G0117;10186;Drenthe;P22;883;770;0;;770;4;164;37;267;11;198;10;8;12;4;;28;;1;;12;3;1;1;5;1;;3;;;;;;;;;;;
Hazerswoude;G0524;11257;Zuid-Holland;P28;904;849;0;;849;302;21;241;47;187;5;4;5;2;3;1;5;3;;2;9;;1;;5;3;;3;;;;;;;;;;;
Hedel;G0245;10982;Gelderland;P25;439;391;0;;391;148;8;146;7;7;4;7;2;;1;10;41;;1;9;;;;;;;;;;;;;;;;;;;
Hedikhuizen;G1071;11130;Noord-Brabant;P30;343;331;0;;331;315;2;;3;3;;2;;;3;1;;;;;1;;;;1;;;;;;;;;;;;;;
Heel en Panheel;G0915;11208;Limburg;P31;288;279;0;;279;275;;;2;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;
Heemskerk;G0396;10679;Noord-Holland;P27;734;708;0;;708;541;30;1;3;6;96;6;4;2;;1;1;1;;6;1;;2;;3;1;;2;;;;;;;1;;;;
Heemstede;G0397;11288;Noord-Holland;P27;2144;1894;0;;1894;802;131;88;193;189;50;148;109;32;13;11;12;14;50;9;11;4;3;14;6;;;;;;;;;3;2;;;;
Heenvliet;G0525;10823;Zuid-Holland;P28;331;288;0;;288;1;116;17;60;17;16;4;12;11;2;1;9;1;;1;;;;;;16;;3;;;;;;;;;1;;
Heer;G0916;11407;Limburg;P31;924;822;0;;822;474;259;5;1;1;25;18;7;9;;;;;;2;;1;;7;13;;;;;;;;;;;;;;
Heerde;G0246;10291;Gelderland;P25;1871;1622;0;;1622;8;425;405;241;149;75;32;33;5;26;6;4;;3;4;154;8;4;3;13;13;3;;;;;;8;;;;;;
Heerewaarden;G0247;10067;Gelderland;P25;253;211;0;;211;6;83;4;2;1;12;;83;;;1;;;6;1;2;;7;;3;;;;;;;;;;;;;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;990;918;0;;918;474;42;40;45;19;270;4;6;1;;2;1;2;;3;;1;4;;3;1;;;;;;;;;;;;;
Heerjansdam;G0526;10540;Zuid-Holland;P28;316;295;0;;295;1;82;88;12;39;7;6;27;1;;;2;1;4;3;1;1;;;;10;1;8;;;;;;;;;1;;
Heerlen;G0917;10902;Limburg;P31;4460;3795;0;;3795;2372;871;35;21;111;102;185;23;29;7;;;;;1;2;3;1;13;19;;;;;;;;;;;;;;
Heesch;G0791;10149;Noord-Brabant;P30;621;580;0;;580;563;3;1;;3;1;2;;;4;1;;;;;1;1;;;;;;;;;;;;;;;;;
Heeswijk;G1072;11229;Noord-Brabant;P30;314;305;0;;305;302;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
Heeze;G0793;10462;Noord-Brabant;P30;628;599;0;;599;543;4;1;1;26;1;2;3;1;5;1;;;;1;2;3;;;5;;;;;;;;;;;;;;
Hei- en Boeicop;G0527;11024;Zuid-Holland;P28;180;163;0;;163;;6;80;9;2;1;3;24;2;1;;4;5;5;;;1;;;;;1;17;1;;;;;;;;1;;
Heiloo;G0399;10793;Noord-Holland;P27;760;691;0;;691;322;26;9;90;33;108;7;58;3;6;8;1;1;;3;6;2;;1;3;1;;1;;;;;;;2;;;;
Heinenoord;G0528;10821;Zuid-Holland;P28;453;433;0;;433;1;48;142;53;77;20;3;38;4;6;2;3;1;3;1;1;1;1;;;15;3;9;;;;;;;;;1;;
Heinkenszand;G0672;10413;Zeeland;P29;464;445;0;;445;219;2;71;102;21;3;2;1;;;;4;;2;1;1;;;2;2;;12;;;;;;;;;;;;
Heino;G0162;10854;Overijssel;P23;639;621;0;;621;325;22;36;8;90;82;1;21;1;;1;16;;1;;;;1;11;2;2;1;;;;;;;;;;;;
Hekelingen;G1074;10873;Zuid-Holland;P28;245;236;0;;236;;112;19;5;4;4;1;16;2;3;;;;;1;1;1;;;;56;1;8;2;;;;;;;;;;
Hekendorp;G1075;10217;Zuid-Holland;P28;171;157;0;;157;35;2;42;24;17;24;;1;1;;;2;;;;2;;;;3;2;;2;;;;;;;;;;;
Helden;G0918;10205;Limburg;P31;1257;1195;0;;1195;1163;3;1;2;;5;8;2;;;;;;;;;1;2;4;4;;;;;;;;;;;;;;
Hellendoorn;G0163;10806;Overijssel;P23;2469;2710;0;;2710;501;333;717;159;410;29;17;142;9;8;4;214;3;3;15;55;8;1;32;9;9;23;9;;;;;;;;;;;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;1242;849;0;;849;20;330;135;99;23;123;10;18;19;12;21;7;;2;1;2;7;6;;;3;;11;;;;;;;;;;;
Helmond;G0794;10932;Noord-Brabant;P30;3670;3320;0;;3320;2863;70;18;2;9;13;31;95;128;18;6;1;2;;22;6;15;2;2;17;;;;;;;;;;;;;;
Helvoirt;G0795;10389;Noord-Brabant;P30;423;399;0;;399;378;1;;;13;;1;1;4;;;;;;1;;;;;;;;;;;;;;;;;;;
Hemelumer Oldephaert en Noordwolde;G1260;10334;Fryslân;P21;1214;1136;0;;1136;66;177;229;23;487;20;24;1;1;;3;4;;21;6;17;4;1;6;3;19;;3;;11;8;2;;;;;;;
Hemmen;G1076;11162;Gelderland;P25;54;48;0;;48;5;4;10;;16;;;6;;;;1;;1;1;2;;;1;1;;;;;;;;;;;;;;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;943;850;0;;850;;216;389;6;14;25;14;121;4;2;2;3;10;4;1;2;;1;;;9;3;20;2;;;;;;;;2;;
Hengelo;G0248;10359;Gelderland;P25;1050;978;0;;978;306;58;296;100;12;95;17;10;7;1;17;2;;8;18;11;3;2;10;4;;1;;;;;;;;;;;;
Hengelo;G0164;10907;Overijssel;P23;5750;5004;0;;5004;1596;1686;186;229;103;297;199;89;244;30;17;6;49;28;25;11;27;3;12;10;117;2;38;;;;;;;;;;;
Hengstdijk;G1077;10636;Zeeland;P29;138;133;0;;133;124;2;1;2;;;;;;;;;;;;;;;;2;1;1;;;;;;;;;;;;
Hennaarderadeel;G0076;10877;Fryslân;P21;1278;1189;0;;1189;52;225;214;58;537;22;9;6;2;;2;1;;12;1;9;4;1;5;4;8;;1;;4;4;8;;;;;;;
Hensbroek;G0401;10181;Noord-Holland;P27;224;209;0;;209;105;2;;83;1;3;;;1;1;1;;;;12;;;;;;;;;;;;;;;;;;;
Herkingen;G1078;10267;Zuid-Holland;P28;204;186;0;;186;;3;150;7;2;2;1;5;;;1;1;;;;;;;;;;10;3;;;;;;;;;1;;
Herpen;G1079;11262;Noord-Brabant;P30;428;389;0;;389;368;4;;;1;;4;;;6;;;;;;2;2;1;;1;;;;;;;;;;;;;;
Herpt;G1080;10845;Noord-Brabant;P30;149;144;0;;144;122;1;2;1;6;;1;;1;1;;;5;;2;;2;;;;;;;;;;;;;;;;;
Herten;G0919;10138;Limburg;P31;300;293;0;;293;278;2;;8;1;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;
Herwen en Aerdt;G0249;10819;Gelderland;P25;1049;916;0;;916;680;43;3;6;11;22;51;6;3;19;45;3;;5;1;4;1;;3;10;;;;;;;;;;;;;;
Herwijnen;G0250;11266;Gelderland;P25;465;430;0;;430;3;109;172;1;45;4;2;52;;;2;6;;18;3;3;;6;;2;;2;;;;;;;;;;;;
Het Bildt;G0063;10128;Fryslân;P21;2321;1991;0;;1991;4;761;505;79;255;23;37;20;7;;1;3;4;35;5;16;20;5;19;14;30;;3;;111;11;23;;;;;;;
Heteren;G0251;10290;Gelderland;P25;838;782;0;;782;356;33;144;5;89;4;8;68;2;4;29;4;;9;10;3;;6;;5;;3;;;;;;;;;;;;
Heukelum;G0533;11308;Zuid-Holland;P28;436;388;0;;388;2;85;131;3;9;5;1;86;3;4;1;1;10;16;2;8;2;4;;;;;12;;;;;;;;;3;;
Heumen;G0252;10600;Gelderland;P25;472;432;0;;432;405;7;;;3;;3;3;;;7;;;2;;;;;1;1;;;;;;;;;;;;;;
Heusden;G0797;10307;Noord-Brabant;P30;482;426;0;;426;227;57;29;48;25;4;8;9;1;2;;1;2;;2;1;1;1;1;7;;;;;;;;;;;;;;
Heythuysen;G0920;10840;Limburg;P31;508;473;0;;473;458;1;;2;;3;4;1;;;;;;;;;;;;4;;;;;;;;;;;;;;
Hillegersberg;G1081;10227;Zuid-Holland;P28;1025;911;0;;911;86;177;229;103;129;9;19;47;14;6;4;6;3;;3;1;4;4;5;26;20;;6;10;;;;;;;;;;
Hillegom;G0534;11236;Zuid-Holland;P28;1885;1706;0;;1706;825;187;176;19;166;25;130;10;10;5;5;4;3;;31;66;5;3;5;24;5;;;2;;;;;;;;;;
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;765;738;0;;738;699;5;;1;2;2;;12;3;;;3;;;;1;;;;10;;;;;;;;;;;;;;
Hilversum;G0402;11285;Noord-Holland;P27;7517;6776;0;;6776;1792;1355;863;185;631;209;488;301;395;219;55;26;11;37;52;21;19;14;68;21;;;;;;;;;4;10;;;;
Hindeloopen;G0077;10672;Fryslân;P21;270;243;0;;243;4;101;28;1;49;24;14;;1;;1;;;;3;;3;1;1;;4;;1;;4;3;;;;;;;;
Hoedekenskerke;G0673;11072;Zeeland;P29;309;300;0;;300;149;11;30;40;11;7;;2;1;;;2;;;1;1;;;3;4;;38;;;;;;;;;;;;
Hoek;G0674;10038;Zeeland;P29;682;608;0;;608;17;30;100;311;59;12;3;;;1;;2;;3;3;;;2;3;3;2;57;;;;;;;;;;;;
Hoenkoop;G0319;10611;Utrecht;P26;125;100;0;;100;61;1;24;;11;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;
Hoensbroek;G0921;11177;Limburg;P31;911;829;0;;829;600;154;11;2;11;5;13;5;12;;;;;;;;;1;10;5;;;;;;;;;;;;;;
Hoevelaken;G0253;11358;Gelderland;P25;263;229;0;;229;22;7;30;;6;3;1;6;;2;;128;;;1;1;;1;1;19;;1;;;;;;;;;;;;
Hoeven;G0799;10065;Noord-Brabant;P30;746;672;0;;672;660;1;2;;;;;2;1;;;;;;;;;;3;3;;;;;;;;;;;;;;
Hof van Delft;G1082;10089;Zuid-Holland;P28;1162;1090;0;;1090;428;264;217;17;22;24;21;16;11;4;10;;;32;4;;2;4;;;3;1;8;1;;;;;;;;1;;
Holten;G0165;11246;Overijssel;P23;859;792;0;;792;14;137;124;133;66;8;30;13;2;4;;182;;9;2;6;3;1;4;17;29;5;3;;;;;;;;;;;
Hontenisse;G0675;11123;Zeeland;P29;1233;1083;0;;1083;939;9;4;28;29;31;4;2;2;2;;1;1;3;3;;;3;12;10;;;;;;;;;;;;;;
Hoofdplaat;G0676;10147;Zeeland;P29;294;267;0;;267;191;4;6;56;2;1;1;2;1;;;;;;;1;;;2;;;;;;;;;;;;;;;
Hoogblokland;G0535;11040;Zuid-Holland;P28;194;185;0;;185;;16;86;1;3;3;2;31;4;4;;1;4;5;;1;1;1;;;1;9;12;;;;;;;;;;;
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;390;372;0;;372;362;;;;;;;;;5;;;;;;;5;;;;;;;;;;;;;;;;;
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;1130;1029;0;;1029;550;23;92;55;217;50;5;11;8;3;;2;;;1;2;;3;4;3;;;;;;;;;;;;;;
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;452;437;0;;437;419;;;;12;;;;;3;;1;;;;;1;;;1;;;;;;;;;;;;;;
Hoogeveen;G0118;10839;Drenthe;P22;3113;2584;0;;2584;18;333;1357;365;211;21;39;66;10;6;;106;;10;;7;10;5;5;13;2;;;;;;;;;;;;;
Hoogezand;G1083;10410;Groningen;P20;2552;2149;0;;2149;161;1047;176;392;29;192;21;3;25;12;4;9;14;8;10;3;4;1;1;19;4;;5;;;;;;;;;;;9
Hoogkarspel;G0403;10642;Noord-Holland;P27;449;429;0;;429;213;25;1;134;1;13;7;4;2;3;2;;1;;16;;;3;;2;1;;1;;;;;;;;;;;
Hoogkerk;G1084;10953;Groningen;P20;600;531;0;;531;9;184;192;9;19;76;15;2;;2;3;2;1;2;2;3;1;;1;6;1;;;;;;;;;;;;;1
Hoogland;G0320;10545;Utrecht;P26;685;604;0;;604;500;6;47;;42;6;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;
Hoogvliet;G1085;10348;Zuid-Holland;P28;281;260;0;;260;1;34;125;5;32;4;2;11;4;3;;1;;1;2;1;;1;;;13;1;19;;;;;;;;;;;
Hoogwoud;G0404;11029;Noord-Holland;P27;550;527;0;;527;230;70;3;131;7;63;5;2;5;1;;;;;3;;;4;;2;1;;;;;;;;;;;;;
Hoorn;G0405;11392;Noord-Holland;P27;2842;2531;0;;2531;679;781;110;488;60;118;103;23;17;14;13;5;7;;23;;29;23;9;22;1;;2;;;;;;;4;;;;
Hoornaar;G0536;10516;Zuid-Holland;P28;161;152;0;;152;;8;90;;;2;;45;1;;;;3;;;;;;;;;;3;;;;;;;;;;;
Horn;G0922;11176;Limburg;P31;321;314;0;;314;299;3;;6;;;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;
Horssen;G0254;10607;Gelderland;P25;262;253;0;;253;211;2;1;;6;;;22;;;11;;;;;;;;;;;;;;;;;;;;;;;
Horst;G0923;11108;Limburg;P31;1359;1327;0;;1327;1279;1;4;9;6;5;8;;1;;;;;;;;;1;5;8;;;;;;;;;;;;;;
Houten;G0321;10230;Utrecht;P26;527;424;0;;424;316;11;63;;22;10;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;
Houthem;G1086;11111;Limburg;P31;305;277;0;;277;234;10;;3;;3;18;;2;;;;;;;;;;4;3;;;;;;;;;;;;;;
Huijbergen;G0803;10466;Noord-Brabant;P30;197;186;0;;186;179;1;;1;1;;1;;;;;;;;;;;;;3;;;;;;;;;;;;;;
Huisseling en Neerloon;G1088;10049;Noord-Brabant;P30;173;163;0;;163;159;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
Huissen;G0255;11047;Gelderland;P25;1126;978;0;;978;892;4;;;30;4;4;14;;;27;;;2;;;;;;1;;;;;;;;;;;;;;
Huizen;G0406;11170;Noord-Holland;P27;1331;1038;0;;1038;5;108;697;19;111;18;19;4;22;9;4;4;1;;1;1;;2;4;7;;;;;;;;;;2;;;;
Hulsberg;G0924;11216;Limburg;P31;376;351;0;;351;327;2;;3;;3;6;1;2;;;;;;;;;;4;3;;;;;;;;;;;;;;
Hulst;G0677;11408;Zeeland;P29;707;647;0;;647;455;15;;30;1;120;5;2;1;1;;;;2;2;;1;3;3;4;1;1;;;;;;;;;;;;
Hummelo en Keppel;G0256;11235;Gelderland;P25;800;734;0;;734;120;124;94;124;9;149;18;41;3;3;3;4;;11;10;4;2;5;4;6;;;;;;;;;;;;;;
Hunsel;G0925;10784;Limburg;P31;290;285;0;;285;284;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
Hurwenen;G1089;11432;Gelderland;P25;143;130;0;;130;57;12;9;1;20;3;1;10;2;;3;1;;7;1;;;2;1;;;;;;;;;;;;;;;
Idaarderadeel;G0078;10815;Fryslân;P21;1561;1421;0;;1421;95;786;48;267;14;27;23;8;17;;4;6;;11;7;4;14;;;8;27;;1;;36;9;9;;;;;;;
IJlst;G0102;11062;Fryslân;P21;358;328;0;;328;1;35;111;4;106;6;4;;;;7;;;8;31;1;;;1;;2;;4;;3;4;;;;;;;;
IJsselmonde;G1230;11357;Zuid-Holland;P28;1072;945;0;;945;8;180;383;6;119;18;13;105;18;5;1;5;11;4;4;7;8;2;;;13;2;26;7;;;;;;;;;;
IJsselmuiden;G0191;10641;Overijssel;P23;628;585;0;;585;149;18;173;97;75;4;3;6;2;4;;4;3;1;2;7;5;1;6;;2;22;1;;;;;;;;;;;
IJsselstein;G0353;10152;Utrecht;P26;1039;966;0;;966;514;60;119;35;78;30;9;24;9;6;1;;;8;2;28;1;3;7;3;;;29;;;;;;;;;;;
IJzendijke;G0730;10688;Zeeland;P29;606;554;0;;554;295;18;27;155;4;13;10;2;2;1;;3;;8;2;2;2;2;2;3;;3;;;;;;;;;;;;
IJzendoorn;G1231;11430;Gelderland;P25;176;156;0;;156;5;32;20;;;;;77;;;2;1;;4;3;;;10;1;1;;;;;;;;;;;;;;
Ilpendam;G0407;10809;Noord-Holland;P27;550;524;0;;524;107;165;11;95;35;35;12;4;1;8;4;;1;;9;2;4;2;;2;2;;25;;;;;;;;;;;
Itteren;G0926;10458;Limburg;P31;137;126;0;;126;119;3;;1;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;
Ittervoort;G1090;10190;Limburg;P31;76;71;0;;71;67;1;;;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;
Jaarsveld;G1091;10847;Utrecht;P26;382;226;0;;226;25;9;147;;10;27;;;7;;1;;;;;;;;;;;;;;;;;;;;;;;
Jabeek;G0927;10256;Limburg;P31;111;106;0;;106;100;;;;;;1;;;;;;;;;;;;5;;;;;;;;;;;;;;;
Jisp;G0408;10481;Noord-Holland;P27;194;181;0;;181;8;41;4;58;4;46;4;1;1;;;;4;;7;;;;;1;;;2;;;;;;;;;;;
Jutphaas;G0322;10374;Utrecht;P26;813;688;0;;688;363;39;191;;57;23;;;4;;2;;;;1;;;;;;;;8;;;;;;;;;;;
Kamerik;G0323;10554;Utrecht;P26;485;425;0;;425;167;3;184;;45;18;;;;;3;;;;;;;;;;;;5;;;;;;;;;;;
Kampen;G0166;10253;Overijssel;P23;4597;4120;0;;4120;454;743;1127;441;585;85;49;130;9;33;11;15;13;8;32;104;31;39;40;8;7;151;5;;;;;;;;;;;
Kamperveen;G1092;10443;Overijssel;P23;141;127;0;;127;2;4;42;7;52;1;1;1;;;;5;1;;;;;;7;1;;3;;;;;;;;;;;;
Kantens;G0020;10372;Groningen;P20;515;486;0;;486;5;198;114;26;17;48;5;11;4;9;;;1;40;;2;1;;2;;1;;;;;;;;;;;;;2
Kapelle;G0678;11223;Zeeland;P29;590;531;0;;531;13;22;181;68;85;83;21;2;1;1;;8;;9;3;2;3;3;4;4;1;17;;;;;;;;;;;;
Kats;G1094;10919;Zeeland;P29;163;135;0;;135;;2;28;67;13;6;3;4;1;1;;2;;1;;;1;1;1;1;;3;;;;;;;;;;;;
Kattendijke;G0679;11218;Zeeland;P29;258;238;0;;238;3;62;35;78;29;7;5;1;;;;;;;3;;;2;1;6;;6;;;;;;;;;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;2555;1951;0;;1951;169;86;428;26;1087;23;13;16;20;3;8;3;;;4;13;4;9;5;13;11;;8;2;;;;;;;;;;
Katwoude;G0409;11136;Noord-Holland;P27;62;59;0;;59;8;4;5;22;16;;2;;;1;;;;;;1;;;;;;;;;;;;;;;;;;
Kedichem;G0538;10280;Zuid-Holland;P28;281;257;0;;257;2;77;40;;4;5;2;65;4;1;;3;4;40;4;1;;;;;1;;4;;;;;;;;;;;
Kerkrade;G0928;10313;Limburg;P31;3505;3174;0;;3174;1908;225;5;11;20;827;35;18;10;27;;;;;1;5;4;2;26;50;;;;;;;;;;;;;;
Kerkwerve;G1095;10837;Zeeland;P29;191;180;0;;180;2;16;62;46;35;1;;2;;1;;3;2;;2;;;1;1;5;1;;;;;;;;;;;;;
Kerkwijk;G0257;10791;Gelderland;P25;311;295;0;;295;2;11;231;;6;2;;12;1;;1;;;1;22;;;;;6;;;;;;;;;;;;;;
Kessel;G0929;10890;Limburg;P31;351;343;0;;343;325;2;;2;;1;3;1;;1;;;;;;;1;;4;3;;;;;;;;;;;;;;
Kesteren;G0258;10916;Gelderland;P25;882;798;0;;798;6;157;196;2;2;6;8;162;6;3;4;32;;21;32;4;14;15;7;4;;117;;;;;;;;;;;;
Kethel en Spaland;G1096;10551;Zuid-Holland;P28;379;359;0;;359;180;10;12;33;74;10;;5;;1;3;3;1;2;;;1;;;;4;;18;2;;;;;;;;;;
Klaaswaal;G0539;10284;Zuid-Holland;P28;453;410;0;;410;5;38;142;3;41;11;7;82;3;4;;2;31;5;;3;1;5;;;4;5;18;;;;;;;;;;;
Klimmen;G0930;10977;Limburg;P31;378;357;0;;357;349;4;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kloetinge;G0680;10155;Zeeland;P29;420;398;0;;398;20;17;110;92;97;15;14;3;4;1;;2;;;5;1;1;2;4;1;;9;;;;;;;;;;;;
Kloosterburen;G0021;10628;Groningen;P20;497;468;0;;468;186;84;83;41;5;45;1;1;;2;3;;;3;;;1;1;1;8;2;;1;;;;;;;;;;;
Klundert;G0804;10656;Noord-Brabant;P30;1066;886;0;;886;364;3;287;40;159;4;2;2;13;2;;;;;;2;2;2;1;3;;;;;;;;;;;;;;
Kockengen;G0324;10765;Utrecht;P26;210;181;0;;181;62;;60;;55;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Koedijk;G0410;10510;Noord-Holland;P27;498;460;0;;460;96;108;9;54;7;98;6;37;2;;3;18;1;;7;;1;3;1;5;1;;2;;;;;;;1;;;;
Koewacht;G0681;10892;Zeeland;P29;521;489;0;;489;379;2;3;45;2;37;3;1;1;;;1;1;1;1;;;;3;7;1;1;;;;;;;;;;;;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;2058;1886;0;;1886;5;270;838;189;467;14;18;;2;;3;2;;3;1;18;6;1;19;7;7;;1;;3;11;1;;;;;;;
Koog aan de Zaan;G0411;10776;Noord-Holland;P27;920;771;0;;771;67;265;41;40;18;121;36;18;64;8;12;1;59;;5;1;;5;5;;2;;3;;;;;;;;;;;
Kortenhoef;G1097;10467;Noord-Holland;P27;289;267;0;;267;53;32;46;6;98;3;5;2;1;6;1;9;;;;;3;;1;;;;;;;;;;;1;;;;
Kortgene;G0682;10250;Zeeland;P29;345;319;0;;319;3;10;42;104;49;21;9;14;5;9;;5;;10;2;;2;1;2;7;1;23;;;;;;;;;;;;
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;365;337;0;;337;29;7;132;22;119;5;4;;2;1;;3;;;;5;;1;;;6;;;1;;;;;;;;;;
