RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
Voerendaal;G0986;11341;Limburg;P31;1502;1442;;;1442;1268;112;2;3;5;7;;9;18;6;6;;;;;2;2;;2;;;;;;;;;;;;;;
Voorburg;G0624;11103;Zuid-Holland;P28;5854;0;;;;1693;865;458;574;830;217;;229;39;;;;;;;;;;;;;;;;;;;;;;;;
Voorhout;G0625;10017;Zuid-Holland;P28;972;935;9;9;917;752;11;28;92;1;8;4;1;5;5;;3;1;1;;;;4;;1;;;;;;;;;;;;;
Voorst;G0285;10912;Gelderland;P25;6438;6002;141;;5861;1378;1025;313;794;576;1265;85;43;28;175;11;12;13;47;13;13;13;16;5;20;;;7;;7;;2;;;;;;
Vorden;G0286;10957;Gelderland;P25;1995;1893;58;;1835;238;170;461;423;321;69;5;19;5;54;10;;5;21;16;1;5;1;4;2;;;2;;2;;1;;;;;;
Vreeland;G1213;10898;Utrecht;P26;449;412;0;3;409;57;57;91;108;25;22;23;4;;8;;5;3;2;;1;2;;;1;;;;;;;;;;;;;
Vreeswijk;G0348;10441;Utrecht;P26;1395;1139;;;1139;412;139;207;279;15;13;26;9;22;7;1;;1;;;1;3;;4;;;;;;;;;;;;;;
Vries;G0133;10630;Drenthe;P22;2424;2236;75;;2161;6;643;195;38;48;151;7;30;;568;4;5;11;411;5;11;3;3;19;;;;;;;;1;;;2;;;
Vriezenveen;G0186;10643;Overijssel;P23;3329;2963;51;25;2880;219;291;306;789;51;49;232;4;8;37;8;602;10;63;159;18;4;22;3;5;;;;;;;;;;;;;
Vrouwenpolder;G1214;10635;Zeeland;P29;;464;6;;458;1;5;306;92;4;14;24;;;2;;;;;;;6;1;1;;;;;;2;;;;;;;;
Vught;G0865;11224;Noord-Brabant;P30;3620;3366;46;77;3243;2639;182;17;40;24;84;7;55;95;6;2;;10;;;4;52;;;5;6;;;;10;;;;5;;;;
Vuren;G0287;11376;Gelderland;P25;842;711;;;711;2;226;120;193;24;12;8;2;5;95;;1;3;8;;2;1;;5;;;;2;;2;;;;;;;;
Waalre;G0866;10959;Noord-Brabant;P30;1141;1095;16;;1079;1002;8;6;1;;2;;2;49;;;;;;;;5;;2;;1;;1;;;;;;;;;;
