RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;2203;1790;;;1790;1441;18;88;53;15;49;4;8;37;42;;;11;;;1;15;;2;1;;;5;;;;;;;;;;
Margraten;G0936;11243;Limburg;P31;563;512;;;512;474;5;;;;6;;;23;;;;;;;1;;;;;;;;;;;;3;;;;;
Markelo;G0169;11382;Overijssel;P23;2536;2169;;;2169;112;485;174;362;489;75;10;11;11;318;7;10;7;49;13;8;13;4;6;5;;;;;;;;;;;;;
Marken;G0419;10901;Noord-Holland;P27;740;581;1;2;578;1;5;203;334;1;5;;1;;3;1;18;;;;;;5;;;;;;;;;;;;;;;
Maurik;G0264;10300;Gelderland;P25;2207;1990;70;;1920;121;437;38;137;677;103;79;4;4;243;;9;7;5;29;;5;;15;;;;1;;3;;;;;3;;;
Medemblik;G0420;11215;Noord-Holland;P27;1480;1376;21;;1355;624;233;87;99;146;105;17;1;3;4;1;3;1;2;2;14;;5;2;2;;;2;1;;;;;;1;;;
Meeden;G0026;10304;Groningen;P20;924;776;;;776;2;294;231;17;139;37;1;1;;19;;1;1;19;;4;4;;;2;;;;;1;;1;;;2;;;
Meerlo;G0937;11416;Limburg;P31;969;927;;;927;904;12;;;;4;;1;5;;;;;;;;;;;;;;;;;;;1;;;;;
Meerssen;G0938;10494;Limburg;P31;2112;1938;;;1938;1599;216;4;4;8;25;;6;45;1;3;;;;5;3;;2;2;;;;7;;;;;8;;;;;
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;877;828;7;;821;798;1;;;;2;;3;17;;;;;;;;;;;;;;;;;;;;;;;;
Meijel;G0941;10925;Limburg;P31;982;929;;;929;908;4;1;;;;;3;8;1;;;;;;;;1;;;;;;;;;;3;;;;;
Melick en Herkenbosch;G0939;10196;Limburg;P31;1155;1045;;;1045;820;109;4;2;13;5;;7;24;5;1;4;;;1;1;1;3;;;;;2;;1;;;42;;;;;
Meliskerke;G1112;11221;Zeeland;P29;;291;3;2;286;;1;137;19;;1;117;;;3;;2;;2;;;3;;;;;;1;;;;;;;;;;
Melissant;G1113;10918;Zuid-Holland;P28;888;747;;;747;17;26;221;155;37;9;188;6;;60;2;2;12;2;;1;5;1;1;;;;;;;;2;;;;;;
Menaldumadeel;G0083;11144;Fryslân;P21;5950;5585;151;;5434;205;2002;1049;767;342;359;4;25;53;212;25;20;20;60;42;7;10;6;10;8;;20;3;;4;;174;;;7;;;
Meppel;G0119;11204;Drenthe;P22;6170;5398;;;5398;81;1292;910;1377;410;708;48;91;7;59;11;9;51;50;200;41;14;5;27;;;;;;;;3;;;4;;;
Merkelbeek;G0940;10763;Limburg;P31;441;0;;;;389;9;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;
Mesch;G1114;11070;Limburg;P31;138;0;;;;108;5;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;
Mheer;G0942;10538;Limburg;P31;453;0;;;;353;15;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;
Middelburg;G0687;10122;Zeeland;P29;10666;9540;425;;9115;586;1884;2129;1321;713;1271;306;438;20;31;94;18;;18;22;34;56;13;15;21;;;79;39;7;;;;;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;2185;1801;;;1801;74;186;583;18;181;86;462;14;2;129;3;3;15;2;2;6;16;2;4;2;;;3;;3;;4;;;1;;;
Midwolda;G0028;10356;Groningen;P20;2206;1865;;;1865;1;367;522;362;73;202;6;4;3;24;28;182;8;50;2;7;3;3;10;2;;3;3;;;;;;;;;;
Midwoud;G0422;10924;Noord-Holland;P27;;595;9;3;583;15;102;2;;276;168;;;1;10;;;;5;;1;;1;1;;;;;1;;;;;;;;;
Mierlo;G0814;10215;Noord-Brabant;P30;2038;1958;42;;1916;1788;40;4;8;1;7;1;4;48;2;;;3;;;5;;;;1;1;;;;;;;;3;;;;
Mijdrecht;G0336;11379;Utrecht;P26;2002;1858;;;1858;667;153;382;424;96;9;57;4;8;14;3;8;1;4;3;1;3;9;8;4;;;;;;;;;;;;;
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;805;712;;;712;1;37;327;120;47;8;87;2;;62;1;6;1;1;2;2;3;;1;2;;;1;;1;;;;;;;;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;1567;1458;30;;1428;1355;3;7;2;;4;;11;27;3;;1;4;;;1;2;;2;;2;;2;;2;;;;;;;;
Millingen;G1259;10072;Gelderland;P25;1591;1299;60;;1239;1000;164;4;4;;14;1;4;24;10;;1;3;3;1;;4;;2;;;;;;;;;;;;;;
Moergestel;G0816;11191;Noord-Brabant;P30;934;908;;;908;826;15;;;2;2;;3;49;;;;2;;1;;6;;1;;;;1;;;;;;;;;;
Moerkapelle;G0560;11383;Zuid-Holland;P28;322;306;1;6;299;2;13;105;76;37;4;30;1;;10;;12;;1;1;1;;;1;1;;;;;1;1;;;;2;;;
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;310;287;2;4;281;1;9;138;57;11;9;40;;;10;1;2;;;;1;;;1;1;;;;;;;;;;;;;
Monnickendam;G0423;10983;Noord-Holland;P27;1356;1259;31;;1228;271;203;154;327;63;88;1;20;2;32;5;3;27;3;;15;1;6;2;;;;2;2;;;1;;;;;;
Monster;G0562;10019;Zuid-Holland;P28;3576;0;;;;1716;113;554;294;148;12;282;10;6;163;3;53;;2;;4;;;;;;;;;;;;;;;;;
Montfoort;G0335;10033;Utrecht;P26;1011;975;31;;944;664;4;97;102;6;9;31;1;8;4;;;8;;;1;4;2;1;;;;;;1;;;;;1;;;
Montfort;G0943;10266;Limburg;P31;490;455;;;455;414;5;;;;2;;;10;2;;;;;;1;;;;;;;1;;;;;20;;;;;
Moordrecht;G0563;10120;Zuid-Holland;P28;1248;1023;;;1023;141;204;264;43;167;37;123;2;3;3;;6;2;8;;2;6;6;2;1;;;2;;;1;;;;;;;
Munstergeleen;G0945;10273;Limburg;P31;449;0;;;;434;8;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Muntendam;G0029;10550;Groningen;P20;1666;1385;;;1385;25;892;95;123;34;6;11;5;;119;4;;6;36;1;;6;4;6;2;;5;2;;;;1;;;2;;;
Naaldwijk;G0565;11418;Zuid-Holland;P28;4094;3978;54;;3924;1338;272;814;509;562;58;55;20;6;249;4;14;2;7;;1;1;2;4;1;;;1;;;;1;;;3;;;
Naarden;G0425;10187;Noord-Holland;P27;2757;0;;;;501;471;402;288;;293;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nederhemert;G1115;10310;Gelderland;P25;521;443;;;443;1;10;66;137;28;13;171;1;1;2;;6;;6;;;;;;;;;;;1;;;;;;;;
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;901;815;21;17;777;288;58;149;198;27;13;3;2;2;20;2;;1;6;;1;1;1;1;4;;;;;;;;;;;;;
Nederweert;G0946;10681;Limburg;P31;2963;2740;;;2740;2627;9;4;6;;4;;3;57;3;;2;;;;5;;2;1;;;;3;;1;;;13;;;;;
Neede;G0266;10367;Gelderland;P25;2573;2446;37;30;2379;366;848;225;224;259;292;4;9;9;75;3;;14;15;3;5;8;14;1;2;;;2;;;;1;;;;;;
Neer;G0947;10682;Limburg;P31;903;855;;;855;832;1;1;1;;2;;;8;1;;;;;;;;2;;;;;;;;;;7;;;;;
Neeritter;G1116;11001;Limburg;P31;281;265;;;265;256;4;;;;;;;2;;1;;;;;;;;;;;;1;;;;;1;;;;;
Nieuw- en Sint Joosland;G1117;11340;Zeeland;P29;553;492;15;;477;2;20;173;121;26;28;50;5;1;20;1;6;;13;;3;5;1;;;;;;2;;;;;;;;;
Nieuw-Beijerland;G0566;10092;Zuid-Holland;P28;892;699;;;699;6;137;97;30;66;22;261;;;51;5;;1;8;;4;6;;2;2;;;;;;;1;;;;;;
Nieuwe Niedorp;G0428;10073;Noord-Holland;P27;645;860;;;860;146;189;7;4;36;422;2;2;2;20;4;;1;10;;1;;3;4;1;;;2;1;1;;2;;;;;;
Nieuwe Pekela;G0030;10950;Groningen;P20;2613;2115;;;2115;153;621;447;371;47;131;35;1;2;169;3;3;5;47;50;10;5;1;6;1;;3;1;;1;;1;;;1;;;
Nieuwe Tonge;G1119;10502;Zuid-Holland;P28;999;743;;;743;7;76;322;15;59;4;180;2;2;40;1;;14;1;2;3;2;4;5;;;;1;;;;2;;;1;;;
Nieuwenhagen;G0948;10088;Limburg;P31;1458;1371;46;38;1292;824;337;3;10;1;6;1;4;58;18;5;1;;;;1;6;3;9;;;;2;;;;;3;;;;;
Nieuwer-Amstel;G1249;10799;Noord-Holland;P27;;4078;;;4078;1294;321;767;860;;267;22;;8;;11;13;;;;;;;9;;;;;;;;;;;;;;
Nieuwerkerk;G1122;10911;Zeeland;P29;931;835;36;;799;2;24;241;66;177;29;144;1;;14;;1;;82;4;5;5;1;1;1;;;1;;;;;;;;;;
Nieuweschans;G0031;10008;Groningen;P20;949;868;4;56;808;10;291;70;35;37;189;2;11;4;8;124;;4;3;2;1;1;1;5;4;;2;4;;;;;;;;;;
Nieuw-Helvoet;G1118;10264;Zuid-Holland;P28;1345;1218;27;8;1183;20;365;152;104;290;91;7;16;1;99;2;;6;11;1;7;1;;5;;;;2;;1;;;;;2;;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;1503;1435;11;10;1414;759;35;97;253;132;45;35;3;13;9;;5;2;6;2;1;;4;1;1;;;1;;2;3;;;;2;;;
Nieuwkuyk;G1123;11278;Noord-Brabant;P30;712;680;1;1;678;639;4;;1;3;3;;3;25;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwland;G0570;11213;Zuid-Holland;P28;320;291;0;7;284;;14;116;33;83;5;16;;;10;3;;;;1;;1;;2;;;;;;;;;;;;;;
Nieuwleusen;G0170;10384;Overijssel;P23;1661;1482;;;1482;5;147;354;494;144;135;16;10;3;62;5;6;8;47;14;2;13;8;4;5;;;;;;;;;;;;;
Nieuwolda;G0032;10126;Groningen;P20;1045;888;;;888;;335;155;142;91;109;1;;3;7;5;4;4;16;1;;2;2;3;;;5;;;;;2;;;1;;;
Nieuwstadt;G0949;11140;Limburg;P31;516;0;;;;410;20;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;864;782;36;;746;245;49;208;89;76;22;15;5;8;14;;;2;1;;2;4;1;2;;;;;;1;2;;;;;;;
Nieuwvliet;G0690;11165;Zeeland;P29;289;263;6;;257;2;16;13;23;129;44;;;;16;;;;7;;;;;5;;;;;1;1;;;;;;;;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;716;641;;;641;540;25;1;10;10;;2;6;16;1;;1;9;;9;;4;;2;1;;;3;;1;;;;;;;;
Nigtevecht;G0337;10160;Utrecht;P26;327;283;;;283;18;29;77;118;13;9;1;1;;7;1;4;;2;;;;3;;;;;;;;;;;;;;;
Nijeveen;G0121;10774;Drenthe;P22;689;618;;;618;1;35;184;150;20;72;;4;1;81;1;1;4;55;;4;1;;2;;;;;;;;1;;;1;;;
Nijkerk;G0267;10446;Gelderland;P25;4370;4044;143;;3901;315;370;1157;1456;52;38;143;21;2;22;10;6;36;148;73;5;13;9;11;1;;;5;;;;8;;;;;;
Nijmegen;G0268;11209;Gelderland;P25;34498;30148;;;30148;15845;6686;625;1474;1516;1032;49;450;2033;28;;19;60;16;71;55;61;;39;;;;38;;46;;;;;5;;;
Nisse;G0691;11086;Zeeland;P29;342;312;5;;307;66;7;54;66;14;45;43;1;2;2;1;;;4;;;;1;;;;;;;1;;;;;;;;
Nistelrode;G0819;10094;Noord-Brabant;P30;1180;1122;34;;1088;1040;3;;;2;4;1;3;14;;;;14;;;;;;1;;2;;1;;2;;;;1;;;;
Noorbeek;G0950;10283;Limburg;P31;340;0;;;;300;11;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;
Noordbroek;G1126;10814;Groningen;P20;1189;1013;;;1013;1;536;26;18;52;69;1;5;3;25;7;11;13;219;3;2;8;2;3;3;;1;4;;1;;;;;;;;
Noordeloos;G0574;10296;Zuid-Holland;P28;575;534;1;8;525;2;12;278;11;111;28;26;4;;33;;7;1;7;;1;1;;1;;;;1;;;;;;;1;;;
Noordgouwe;G1128;11107;Zeeland;P29;;456;27;;429;3;95;74;60;73;24;21;4;1;17;;;;45;2;;3;;3;1;;;;2;1;;;;;;;;
Noord-Scharwoude;G1124;10075;Noord-Holland;P27;931;873;13;11;849;248;126;91;7;29;298;2;16;1;4;;2;;6;;2;2;1;9;1;;;2;3;;;;;;;;;
Noordwelle;G1129;10055;Zeeland;P29;228;215;6;;209;;35;21;10;62;27;7;5;1;5;;;;31;;4;;;;;;;1;;;;;;;;;;
Noordwijk;G0575;10769;Zuid-Holland;P28;3923;3738;122;;3616;1614;175;490;710;183;116;12;41;33;16;7;56;9;6;5;44;15;15;49;8;;;4;;1;4;;;;3;;;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;1773;1687;17;;1670;1372;23;25;164;8;10;6;2;10;18;;5;2;1;2;4;8;4;2;;;;2;;1;1;;;;;;;
Nootdorp;G0577;10601;Zuid-Holland;P28;515;488;8;;480;287;37;37;84;8;4;2;3;;1;;1;11;;;2;;1;1;1;;;;;;;;;;;;;
Norg;G0120;10608;Drenthe;P22;1585;1434;;;1434;31;452;148;81;83;187;3;12;2;35;1;2;3;333;1;46;2;1;3;;;;;;;;5;;;3;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;1469;1406;28;;1378;1237;21;16;16;3;4;4;3;41;4;;1;8;;;;13;;1;;1;;;;;;;;5;;;;
Nuland;G0821;10118;Noord-Brabant;P30;604;562;15;;547;521;1;2;;1;5;;4;7;1;;;2;;;;;;;;;;;;2;;;;1;;;;
Numansdorp;G0578;11346;Zuid-Holland;P28;2057;1721;;;1721;4;199;519;234;353;22;201;6;3;123;2;9;10;9;;2;7;4;9;2;;;1;;1;;1;;;;;;
Nunhem;G1130;10736;Limburg;P31;142;138;;;138;132;2;;;;;;1;1;;;;;;;;;;;;;;;;;;;2;;;;;
Nuth;G0951;10104;Limburg;P31;1474;1396;17;10;1369;1093;191;7;28;;7;;1;18;;10;1;;;;1;4;3;;;;;1;;;;;4;;;;;
Obbicht en Papenhoven;G0952;10388;Limburg;P31;476;0;;;;368;45;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;
Obdam;G0429;11338;Noord-Holland;P27;;667;2;1;664;557;13;2;2;41;40;;2;2;3;;1;;;;;;1;;;;;;;;;;;;;;;
Odijk;G1131;11003;Utrecht;P26;230;212;6;;206;127;1;;60;;;14;1;;;;2;;1;;;;;;;;;;;;;;;;;;;
Odoorn;G0122;11320;Drenthe;P22;5270;4652;428;;4224;225;1719;501;551;309;227;13;29;9;292;16;9;33;221;4;22;7;12;15;;;;;;;;5;;;5;;;
Oeffelt;G0822;10360;Noord-Brabant;P30;615;582;11;1;570;548;6;1;;;1;;1;10;;;;3;;;;;;;;;;;;;;;;;;;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;2144;1953;29;;1924;543;114;343;494;181;84;24;19;3;19;10;21;11;3;6;5;16;11;11;1;;;3;;1;1;;;;;;;
Ohé en Laak;G0953;10420;Limburg;P31;278;258;;;258;238;4;;2;;2;;2;4;;;;;;;1;;;;;;;;;;;;5;;;;;
Oijen en Teeffelen;G1150;10869;Noord-Brabant;P30;473;444;14;;430;393;2;4;;16;3;3;1;5;1;;;1;;;;;;;;;;1;;;;;;;;;;
Oirsbeek;G0954;10504;Limburg;P31;638;0;;;;340;17;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;
Oirschot;G0823;10225;Noord-Brabant;P30;2193;2047;37;;2010;1893;15;2;9;;9;;9;49;7;;;6;;;;7;;;;2;;;;2;;;;;;;;
Oisterwijk;G0824;10103;Noord-Brabant;P30;2314;2219;;;2219;1696;158;7;24;36;37;2;16;202;12;;2;4;;2;4;10;;4;3;;;;;;;;;;;;;
Oldebroek;G0269;11106;Gelderland;P25;3721;3504;146;;3358;104;325;1433;828;47;32;89;13;1;31;2;268;3;45;51;26;12;21;8;2;;;5;;5;;7;;;;;;
Oldemarkt;G0172;10858;Overijssel;P23;1463;1338;;;1338;195;103;123;659;177;27;2;5;3;12;3;15;1;8;;;1;2;1;1;;;;;;;;;;;;;
Oldenzaal;G0173;11100;Overijssel;P23;;3837;69;77;3695;2410;579;44;138;205;72;1;5;187;3;5;2;9;3;10;3;8;4;4;3;;;;;;;;;;;;;
Olst;G0174;10409;Overijssel;P23;;2647;36;;2611;599;781;111;133;214;549;2;11;7;142;12;4;11;9;7;6;2;2;3;6;;;;;;;;;;;;;
Ommen;G0175;11069;Overijssel;P23;3519;3309;42;26;3244;273;209;937;631;71;154;1;6;13;99;8;694;10;53;15;14;26;20;5;5;;;;;;;;;;;;;
Onstwedde;G1250;10610;Groningen;P20;7678;6484;;;6484;678;1895;1453;1087;92;513;33;18;11;127;16;353;18;53;11;37;10;4;20;23;;18;5;;2;;3;;;4;;;
Ooltgensplaat;G1133;11163;Zuid-Holland;P28;1458;1311;;;1311;233;95;382;68;138;19;330;;2;9;;15;3;3;;;1;5;2;;;;3;;;;2;;;1;;;
Oost- en West-Souburg;G1135;11396;Zeeland;P29;;2021;81;;1940;41;408;573;442;75;159;66;40;5;5;6;3;;6;2;14;15;5;3;38;;;3;31;;;;;;;;;
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;576;546;5;;541;531;1;2;1;;1;;;2;;;1;1;;;;1;;;;;;;;;;;;;;;;
Oostburg;G0692;10782;Zeeland;P29;;1319;57;;1262;318;115;152;56;355;137;11;8;8;28;3;1;;18;14;2;17;;9;;;;;6;4;;;;;;;;
Oostdongeradeel;G0084;11102;Fryslân;P21;4142;3877;68;;3809;13;253;2051;1057;244;53;4;4;2;28;;4;6;32;10;13;24;1;4;;;1;1;;1;;3;;;;;;
Oosterhesselen;G0123;10490;Drenthe;P22;1154;1061;;;1061;1;292;298;72;175;142;5;4;5;27;3;1;4;18;6;1;;1;4;;;;;;;;2;;;;;;
Oosterhout;G0826;11280;Noord-Brabant;P30;6451;5816;;;5816;5354;157;11;54;13;21;6;13;117;15;;3;22;;3;1;5;;5;5;;;10;;1;;;;;;;;
Oosterland;G1136;11237;Zeeland;P29;;776;44;;732;2;124;132;139;126;43;102;8;1;10;2;1;;26;;2;6;1;;2;;;1;2;2;;;;;;;;
Oosthuizen;G0430;11121;Noord-Holland;P27;637;590;9;6;573;18;182;6;23;132;143;1;5;;44;1;;2;7;;1;1;6;1;;;;;;;;;;;;;;
Oostkapelle;G1137;10720;Zeeland;P29;;614;4;6;604;4;11;245;143;21;28;100;6;;4;;14;;18;1;2;5;1;1;;;;;;;;;;;;;;
Ooststellingwerf;G0085;10836;Fryslân;P21;6414;5646;267;;5379;24;1807;970;712;66;699;9;20;6;682;23;8;13;48;31;54;24;7;5;106;;44;5;;6;;2;;;8;;;
Oostvoorne;G0581;10009;Zuid-Holland;P28;1446;1349;52;;1297;24;446;85;53;282;82;3;5;2;262;11;4;3;4;3;;10;2;15;;;;;;;;1;;;;;;
Oostzaan;G0431;11303;Noord-Holland;P27;1856;1694;105;;1589;9;562;253;58;241;182;17;9;3;152;39;3;4;2;1;13;2;12;10;6;;;;4;2;;5;;;;;;
Ootmarsum;G0176;11079;Overijssel;P23;715;661;;;661;522;35;6;8;16;10;;;45;3;;1;1;1;7;;5;1;;;;;;;;;;;;;;;
Ophemert;G0270;10829;Gelderland;P25;705;558;;;558;14;81;23;145;223;9;25;2;2;18;;;4;5;1;2;2;;2;;;;;;;;;;;;;;
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;1099;1027;11;;1016;989;3;;1;2;1;;;17;1;;;1;;;;;;;;;;;;;;;;1;;;;
Opmeer;G0432;10609;Noord-Holland;P27;248;244;;;244;154;29;;;18;37;;;;2;;;;;;2;2;;;;;;;;;;;;;;;;
Opperdoes;G0433;10523;Noord-Holland;P27;490;459;6;2;451;;25;178;97;92;30;15;3;;2;;1;1;;;;1;1;;;;;1;;;;;;;;;;
Opsterland;G0086;10005;Fryslân;P21;9484;8266;309;;7957;12;2966;1552;655;485;869;9;27;12;626;308;26;21;74;40;16;42;11;36;76;;51;16;;10;;15;;;2;;;
Oss;G0828;10834;Noord-Brabant;P30;5114;4812;124;193;4495;3508;349;27;70;31;156;6;47;197;12;5;3;17;;;12;12;;5;5;16;;7;;2;;;;8;;;;
Ossendrecht;G0829;10929;Noord-Brabant;P30;1272;1085;;;1085;832;115;6;13;20;17;5;10;21;5;;1;19;;2;4;6;;4;2;;;3;;;;;;;;;;
Ossenisse;G1138;10841;Zeeland;P29;397;376;12;;364;293;1;1;4;5;11;1;3;13;;;;;3;;;;3;;;;;25;1;;;;;;;;;
Ottersum;G0955;10862;Limburg;P31;1074;969;;;969;930;9;4;;3;8;;;8;1;;;;;;2;;1;;;;;2;;;;;1;;;;;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;2776;2609;;;2609;2352;120;7;30;13;9;2;10;36;1;;1;10;;4;2;7;;3;1;;;1;;;;;;;;;;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;3013;2618;;;2618;129;340;988;129;207;73;580;;14;102;2;20;7;;4;3;7;;8;;;;1;;2;;;;;2;;;
Ouddorp;G1142;11126;Zuid-Holland;P28;1714;1302;;;1302;11;11;428;16;84;10;456;5;1;230;6;9;5;1;1;6;6;1;3;1;;;2;;4;;3;;;2;;;
Oude Niedorp;G0436;10896;Noord-Holland;P27;;592;;;592;351;43;13;;8;155;1;2;4;;;;1;3;;;2;3;2;;;;1;3;;;;;;;;;
Oude Pekela;G0038;10848;Groningen;P20;3286;2776;;;2776;210;1226;387;209;157;331;7;7;3;49;140;;5;21;6;3;2;1;1;2;;4;2;;1;;1;;;1;;;
Oude Tonge;G1143;10714;Zuid-Holland;P28;1597;1312;;;1312;335;300;206;30;130;18;214;11;2;39;2;3;4;5;;3;4;1;1;2;;;2;;;;;;;;;;
Oudelande;G0695;11139;Zeeland;P29;;383;18;;365;39;44;89;93;25;26;28;;1;13;1;;;2;;;1;1;;1;;;1;;;;;;;;;;
Oudenbosch;G0830;10397;Noord-Brabant;P30;2567;2286;;;2286;2052;64;2;54;11;14;8;5;29;3;;3;13;;2;1;12;;3;3;;;6;;1;;;;;;;;
Oudendijk;G0435;11090;Noord-Holland;P27;298;259;7;;252;4;108;5;11;14;71;;;;22;2;;;7;;;;;;;;;;;;;;;;;;;
Oudenhoorn;G0586;10380;Zuid-Holland;P28;491;10;10;;;;178;25;66;68;3;3;;;91;5;;;91;;;;;;;;;;;;;;;;;;;
Oudenrijn;G1144;10114;Utrecht;P26;430;390;13;;377;111;9;85;104;19;14;6;2;14;5;;;3;1;2;1;;;;;;;;;1;;;;;;;;
Oudheusden;G1145;10812;Noord-Brabant;P30;558;520;5;;515;478;2;3;9;3;2;6;1;8;1;;;;;;;;;1;;;;1;;;;;;;;;;
Oudkarspel;G1146;11051;Noord-Holland;P27;;970;15;;955;190;214;32;4;15;457;1;6;5;6;1;;2;6;;;;1;6;1;;;;6;1;;1;;;;;;
Oudorp;G0438;10363;Noord-Holland;P27;465;446;4;;442;309;29;10;10;24;35;3;2;10;7;;;1;;;;;1;;;;;;1;;;;;;;;;
Oud-Valkenburg;G1140;10868;Limburg;P31;455;426;;;426;366;19;8;;2;;;1;18;;2;;;;1;1;;;5;;;;1;;;;;2;;;;;
Oud-Vossemeer;G0696;10134;Zeeland;P29;1124;1027;25;10;992;193;20;249;175;118;12;159;6;4;13;;;;28;;1;11;;1;;;;;2;;;;;;;;;
Ouwerkerk;G1148;10968;Zeeland;P29;;348;16;;332;1;81;27;10;63;86;17;4;;5;2;;;34;;;2;;;;;;;;;;;;;;;;
Overasselt;G0271;10952;Gelderland;P25;1163;1067;;;1067;1007;3;1;10;11;9;;2;14;7;;;2;1;;;;;;;;;;;;;;;;;;;
Overslag;G0697;10730;Zeeland;P29;;145;14;;131;81;12;;8;6;1;;2;1;;1;1;;;;;;;;;;;18;;;;;;;;;;
Ovezande;G0698;11422;Zeeland;P29;607;597;13;;584;437;4;10;100;11;2;3;;4;4;1;;;1;;;;;1;;;;4;1;1;;;;;;;;
Pannerden;G0272;10518;Gelderland;P25;658;550;;;550;512;12;3;3;;2;;2;13;2;;;1;;;;;;;;;;;;;;;;;;;;
Papekop;G1151;11244;Zuid-Holland;P28;186;173;4;;169;52;2;38;46;8;2;14;;3;;;;;;1;;1;;2;;;;;;;;;;;;;;
Papendrecht;G0590;10427;Zuid-Holland;P28;2395;0;;;;31;370;916;92;112;37;90;9;2;109;9;22;9;4;3;;11;1;11;10;;;7;;;;2;;;;;;
Peize;G0124;10501;Drenthe;P22;1120;985;;;985;;519;36;13;25;30;2;2;1;89;;2;5;247;1;4;;2;5;;;;;;;;1;;;1;;;
Pernis;G1152;11245;Zuid-Holland;P28;1907;1693;;;1693;8;151;621;668;98;7;72;9;1;37;1;1;4;6;1;1;2;1;;;;;1;;;;2;;;1;;;
Petten;G1153;11057;Noord-Holland;P27;172;163;;;163;12;;;117;1;;;1;2;;;;;2;;;1;;;;;;;;;;27;;;;;;
Philippine;G0699;10486;Zeeland;P29;;397;29;;368;250;56;2;12;14;2;8;;4;11;1;;;1;;;4;1;;;;;1;;1;;;;;;;;
Piershil;G0591;10179;Zuid-Holland;P28;470;396;;;396;1;53;49;23;40;1;143;4;;70;;4;;1;;;1;1;2;1;;;;;1;;1;;;;;;
Poederoijen;G1155;10135;Gelderland;P25;576;448;;;448;;17;145;45;54;6;146;;;4;;17;;1;1;1;3;;4;;;;1;;2;;;;;1;;;
Polsbroek;G0338;10993;Utrecht;P26;445;399;;;399;86;4;155;20;30;4;66;;1;25;;2;;;;;2;1;3;;;;;;;;;;;;;;
Poortugal;G0592;11395;Zuid-Holland;P28;929;851;;;851;50;223;170;84;191;19;19;9;6;63;;3;;2;2;2;3;2;1;1;;;1;;;;;;;;;;
Poortvliet;G0700;11181;Zeeland;P29;866;784;19;;765;1;11;139;161;17;20;371;2;;11;1;5;;18;;2;3;;1;;;;1;1;;;;;;;;;
Posterholt;G0956;10456;Limburg;P31;788;739;;;739;652;20;;1;1;4;;14;8;1;1;1;;;1;3;;;;;;;1;;1;;;30;;;;;
Princenhage;G1156;10762;Noord-Brabant;P30;6434;5827;;;5827;4447;689;39;149;100;86;6;81;108;9;;18;31;;6;12;10;;15;11;;;4;;6;;;;;;;;
Purmerend;G0439;11066;Noord-Holland;P27;3501;3290;54;;3236;854;905;119;104;263;699;13;49;48;42;50;1;8;24;16;6;1;16;11;1;;;2;2;1;;;;;1;;;
