RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;Staatkundig Gereformeerde Partij (SGP);Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;Socialistische Partij (SOPA);Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch
Groesbeek;G0241;10616;Gelderland;P25;2939;2657;;;2657;2360;95;20;46;26;16;13;4;4;8;2;3;4;2;8;5;16;4;;1;;2;2;;1;;;8;;;3;1;;;;3;;;;;;;;;;;;;;;
Groningen;G0014;10426;Groningen;P20;47460;42098;1359;;40739;3755;2395;5590;4550;405;4409;3415;2111;129;169;316;570;13;206;103;;597;400;41;348;89;129;187;;35;351;38;128;;190;;71;;;;;;;;;;;;;;;;;;;
Gronsveld;G0911;10323;Limburg;P31;677;463;;;463;447;6;;3;;;;;1;;;;;;;;;;3;;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;
Groot-Ammers;G0520;11205;Zuid-Holland;P28;769;673;;;673;2;6;429;23;105;21;5;;2;12;4;1;35;2;;;2;;1;;;;;;16;;;;;;1;;5;;;1;;;;;;;;;;;;;;;
Grootebroek;G0391;11337;Noord-Holland;P27;1662;1615;18;;1597;1299;44;3;3;94;110;2;2;2;1;2;;1;1;;;1;1;8;;4;;3;2;;5;;;1;2;6;;;;;;;;;;;;;;;;;;;;
Grubbenvorst;G0912;10176;Limburg;P31;972;508;;;508;497;;;2;;;1;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
Gulpen;G0913;11032;Limburg;P31;1293;1197;;;1197;1021;75;;7;3;22;4;3;5;;2;;;;2;;2;5;14;;3;1;;;2;1;;5;;;;3;;17;;;;;;;;;;;;;;;;;
Haaften;G0242;10125;Gelderland;P25;1219;1055;;;1055;;220;258;331;31;25;3;5;11;66;4;;42;1;;2;;4;1;;2;1;;;29;1;;3;;;3;1;;;;3;;1;;;;;;;;7;;;;;
Haaksbergen;G0158;11435;Overijssel;P23;3122;2986;21;;2965;1981;454;32;26;6;148;57;;1;198;2;;;;3;;7;6;10;;3;;4;;12;5;2;;;3;1;1;;;;2;;1;;;;;;;;;;;;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;;9508;;;9508;2246;1362;2494;1575;517;159;74;35;89;265;10;54;133;58;59;4;37;4;15;62;57;5;25;46;22;10;10;12;;6;32;5;;;;10;;11;;;;;;;;;;;;5;
Haarzuilens;G1069;10737;Utrecht;P26;232;0;;;;186;1;7;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haastrecht;G0521;11049;Zuid-Holland;P28;958;0;;;;520;52;218;45;5;81;161;2;2;1;7;4;2;3;5;;;2;;2;;5;;;10;2;1;1;;;;;4;;;;;;;;;;;;;;;;;;
Haelen;G0914;10321;Limburg;P31;506;485;;;485;387;6;;;1;;;1;;;;;;1;;;;3;;;;;;;;1;;;;;;;;84;;1;;;;;;;;;;;;;;;
Hagestein;G0522;10297;Zuid-Holland;P28;437;403;;;403;171;4;15;5;5;2;;1;2;1;;183;2;;;;;;;;;;9;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Halsteren;G0789;10387;Noord-Brabant;P30;2326;2055;;;2055;1738;119;18;11;4;16;23;3;2;12;3;2;;;;65;8;2;5;3;;;;;;;;12;;1;;;;;;8;;;;;;;;;;;;;;;
Haps;G0790;11283;Noord-Brabant;P30;566;529;;;529;521;;1;2;;;1;;;;1;;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Hardinxveld;G1070;10167;Zuid-Holland;P28;2909;1955;;;1955;1;486;637;62;334;45;25;1;10;10;26;27;236;7;;;12;4;1;4;;5;1;;1;6;;;1;2;1;;3;;;3;;;;;;;;;;;4;;;;
Haren;G0017;11058;Groningen;P20;2612;2341;;;2341;21;490;507;;;161;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harenkarspel;G0395;10963;Noord-Holland;P27;1382;1322;17;;;707;57;67;5;9;417;;1;;1;2;;;;;;1;;1;;3;;11;1;12;2;;2;1;;4;;1;;;;;;;;;;;;;;;;;;
Harlingen;G0072;10909;Fryslân;P21;5284;4732;121;;4611;663;1192;634;22;12;467;262;49;865;4;16;10;5;63;216;;12;23;3;5;8;35;4;10;7;1;6;;14;;;;;;3;;;;;;;;;;;;;;;;
Harmelen;G0318;10183;Utrecht;P26;1039;1000;8;10;;439;24;280;137;49;8;;1;10;;2;1;12;;3;;2;;4;1;;;1;;3;;;;;3;;2;;;;;;;;;;;;;;;;;;;
Haskerland;G0073;10022;Fryslân;P21;4169;3802;113;;3689;344;996;463;11;19;91;381;8;965;23;29;13;2;20;180;;8;11;2;2;7;4;18;10;17;5;17;;34;;;;;;7;2;;;;;;;;;;;;;;;
Hasselt;G0161;10115;Overijssel;P23;1186;975;23;;952;34;65;601;64;9;11;99;17;2;3;1;1;2;20;2;;1;1;6;1;6;;;;1;;;;;1;1;;;;;;;3;;;;;;;;;;;;;
Hattem;G0244;10673;Gelderland;P25;1911;1782;23;23;1736;11;531;396;397;55;76;22;5;14;1;10;137;;1;14;;9;2;;1;8;2;1;4;;1;4;24;1;1;3;5;;;;;;;;;;;;;;;;;;;
Havelte;G0117;10186;Drenthe;P22;1657;1502;;;1502;22;309;129;43;28;209;282;7;14;326;15;;1;11;9;;7;15;1;2;16;3;14;;15;9;;;;;;8;;;;2;;5;;;;;;;;;;;;;
Hazerswoude;G0524;11257;Zuid-Holland;P28;1897;1746;;;1746;679;17;488;426;;23;1;;3;24;;;19;4;;;;5;7;7;;;4;;39;;;;;;;;;;;;;;;;;;;;;;;;;;
Hedel;G0245;10982;Gelderland;P25;880;804;;;804;345;15;146;254;3;2;2;3;4;2;;;8;1;;;2;;5;;5;;;;2;;;;1;;3;;;;;;;;;;;;;;;1;;;;;
Hedikhuizen;G1071;11130;Noord-Brabant;P30;653;633;;;633;583;7;;7;;5;12;;1;;;;1;;;;;;15;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;
Heel en Panheel;G0915;11208;Limburg;P31;764;698;3;0;695;686;5;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Heemstede;G0397;11288;Noord-Holland;P27;6043;5245;42;76;5203;1897;437;274;297;773;207;27;28;552;7;36;8;2;19;12;19;219;89;81;6;49;13;3;33;5;19;8;5;3;42;23;2;2;;;2;;4;;;;;;;;;;;;;
Heenvliet;G0525;10823;Zuid-Holland;P28;671;539;;;539;3;140;24;41;152;23;2;22;5;83;6;;4;2;1;;11;2;;2;2;2;2;;3;2;1;;2;;1;;1;;;;;;;;;;;;;;;;;;
Heer;G0916;11407;Limburg;P31;1403;1348;85;;1263;945;220;7;5;3;11;1;11;;;1;;;1;4;2;2;5;8;;6;2;;;2;2;;7;;3;;3;;11;;1;;;;;;;;;;;;;;;
Heerde;G0246;10291;Gelderland;P25;3645;3304;;;3304;17;405;618;1045;469;172;35;21;21;16;16;24;6;12;275;;29;11;8;12;19;8;4;5;2;3;;36;5;2;;6;;;;;;;;;2;;;;;;;;;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;;1917;23;;1897;1049;149;88;16;64;479;4;1;;2;1;;;2;;;2;;;1;4;;2;7;4;6;;2;;;9;;;;;;;;;;;;;;;;;;;2;
Heerjansdam;G0526;10540;Zuid-Holland;P28;590;538;;;538;2;104;130;191;40;;;1;6;32;;;11;;3;;11;2;;1;;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
Heerlen;G0917;10902;Limburg;P31;12164;10780;;;10780;6845;2304;181;332;70;163;133;224;23;;13;;;126;24;12;16;22;53;84;35;3;;;2;21;;36;;7;;11;;32;;8;;;;;;;;;;;;;;;
Heesch;G0791;10149;Noord-Brabant;P30;1229;1139;10;19;1110;1076;3;1;;2;1;1;1;8;1;;1;;2;1;;;;4;;2;;;;;1;;;5;;;;;;;;;;;;;;;;;;;;;;
Heeswijk;G1072;11229;Noord-Brabant;P30;637;635;;;635;617;2;1;;;;;;;;;;1;;;;;;7;;;;;;;;;3;4;;;;;;;;;;;;;;;;;;;;;;
Heeze;G0793;10462;Noord-Brabant;P30;1294;1202;;;1202;1106;1;2;52;;4;;1;;;;;2;;;;;2;11;;1;;3;;1;2;;14;;;;;;;;;;;;;;;;;;;;;;;
Hei- en Boeicop;G0527;11024;Zuid-Holland;P28;342;289;;;289;1;7;115;4;7;3;;;;1;1;53;90;;;;;;;1;;;4;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Heinenoord;G0528;10821;Zuid-Holland;P28;930;844;;;844;5;60;340;156;116;4;18;1;9;51;12;10;32;1;;;4;1;;;;1;1;;14;3;1;;;;1;;2;;;1;;;;;;;;;;;;;;;
Heino;G0162;10854;Overijssel;P23;1291;1231;8;;1223;604;68;81;339;1;43;28;2;11;3;5;;1;1;14;;3;;;;5;;;;;1;2;;1;1;3;3;;;;1;;2;;;;;;;;;;;;;
Hekelingen;G1074;10873;Zuid-Holland;P28;486;431;;;431;;166;33;24;53;6;10;;1;82;9;2;6;1;2;;4;2;;2;3;3;;;19;2;;;;;;;;;;;;;;;;;;;;;1;;;;
Helden;G0918;10205;Limburg;P31;2400;2344;9;3;2332;2285;1;3;1;;;1;4;1;;1;;;2;1;;;1;22;;;1;;;;;;3;;;;;;4;;1;;;;;;;;;;;;;;;
Hellendoorn;G0163;10806;Overijssel;P23;5055;4876;73;;4803;987;430;1035;1635;28;49;268;43;35;24;11;8;33;28;90;;8;5;5;4;11;;4;;2;5;1;;1;2;40;4;;;;4;;3;;;;;;;;;;;;;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;1478;1281;58;;1223;53;254;214;305;136;121;34;1;18;9;21;5;18;16;3;;4;4;2;;;1;1;;1;8;;;;;1;;2;;;1;;;;;;;;;;;;;;;
Helmond;G0794;10932;Noord-Brabant;P30;8465;8051;242;;7809;6585;236;66;44;38;100;121;145;5;5;43;2;8;29;7;177;15;14;75;21;22;;8;;9;10;;8;10;;2;1;;;;;;3;;;;;;;;;;;;;
Hemelumer Oldephaert en Noordwolde;G1260;10334;Fryslân;P21;2672;2522;20;;2502;105;213;500;13;3;70;87;5;1338;25;3;2;1;8;77;;3;2;1;;4;3;16;2;8;4;3;;5;;;;;;1;;;;;;;;;;;;;;;;
Hemmen;G1076;11162;Gelderland;P25;;100;;;100;2;4;36;42;5;;2;;5;1;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;1934;1676;;;1676;9;254;811;216;176;9;7;2;14;29;16;9;94;2;9;;2;;;1;1;1;1;;3;4;1;;;;1;;1;;;2;;;;;;;;;;;1;;;;
Hengelo;G0248;10359;Gelderland;P25;2075;2044;80;14;1950;645;109;650;76;204;54;54;13;1;9;4;2;2;2;39;2;3;7;16;1;9;1;6;;;2;;6;;;2;28;;;;2;;;;;;;;;;1;;;;;
Hengelo;G0164;10907;Overijssel;P23;12969;11749;;;11749;3823;4085;521;419;87;867;634;318;15;181;101;4;14;76;50;;59;42;25;90;68;;9;;63;41;76;6;8;15;7;8;;;;26;;11;;;;;;;;;;;;;
Hennaarderadeel;G0076;10877;Fryslân;P21;2618;2457;20;;2437;99;354;434;7;8;17;171;3;1184;9;2;18;;1;35;;2;2;;3;1;1;45;4;20;2;1;;2;;;;;;12;;;;;;;;;;;;;;;;
Herkingen;G1078;10267;Zuid-Holland;P28;396;260;;;260;;1;145;3;5;3;;;;12;;;80;1;;;5;;;1;;1;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;
Herpen;G1079;11262;Noord-Brabant;P30;;715;;;715;703;;;;;;;4;;;;1;2;;;1;;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Herpt;G1080;10845;Noord-Brabant;P30;286;269;;;269;247;4;4;3;;;1;;;;;;;;;4;;;1;1;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Herten;G0919;10138;Limburg;P31;602;574;;;574;530;12;2;1;;1;1;2;;;;;;1;1;;;1;2;1;;;;;2;2;;;;;;9;;5;;1;;;;;;;;;;;;;;;
Herwen en Aerdt;G0249;10819;Gelderland;P25;2409;2086;;;2086;1612;216;34;28;101;10;7;5;4;1;10;1;;4;10;1;7;;17;1;1;2;2;;1;1;;3;1;;;;;;;4;;2;;;;;;;;;;;;;
Herwijnen;G0250;11266;Gelderland;P25;918;784;;;784;;102;279;209;10;6;1;2;9;126;2;2;6;7;6;;2;;1;;1;;;;5;3;;2;;;;2;;;;1;;;;;;;;;;;;;;;
Het Bildt;G0063;10128;Fryslân;P21;4731;4364;118;;4246;3;1200;1131;6;7;71;172;35;630;218;9;7;;5;32;;34;12;2;119;13;5;67;29;21;3;5;;133;;;;;;276;1;;;;;;;;;;;;;;;
Heteren;G0251;10290;Gelderland;P25;1645;1519;;;1519;699;39;359;193;106;4;5;4;10;4;3;49;17;2;6;;3;;1;;3;;7;;;;;1;1;;;2;;;;1;;;;;;;;;;;;;;;
Heukelum;G0533;11308;Zuid-Holland;P28;782;706;;;706;3;115;330;75;97;9;5;3;10;9;3;3;8;12;1;;4;2;;2;2;4;2;;;;;;;1;1;;;;;;;;;;;;;;;;5;;;;
Heumen;G0252;10600;Gelderland;P25;929;863;;;863;782;20;19;8;11;10;;;;2;;;;;1;;2;;2;;;;1;;;3;;1;;;;;;;;1;;;;;;;;;;;;;;;
Heusden;G0797;10307;Noord-Brabant;P30;1041;899;;;899;500;32;58;75;2;10;158;9;4;1;;;15;2;;4;2;4;7;4;2;;2;;;2;;3;;;2;;;;;;;1;;;;;;;;;;;;;
Heythuysen;G0920;10840;Limburg;P31;1020;965;;;965;930;2;;1;2;2;4;1;;;;;;;;;;;6;;;;;;;;;1;;;;;;16;;;;;;;;;;;;;;;;;
Hillegersberg;G1081;10227;Zuid-Holland;P28;2354;2160;27;64;2069;198;257;504;544;232;35;24;10;16;71;21;32;25;9;9;;33;1;6;5;;12;2;;4;;3;8;;1;;;7;;;;;;;;;;;;;;;;;;
Hillegom;G0534;11236;Zuid-Holland;P28;3999;3678;;;3678;1828;382;365;524;6;7;7;1;16;3;10;;23;1;219;;73;3;4;60;;2;;;107;9;1;4;;4;;;19;;;;;;;;;;;;;;;;;;
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;1640;1564;;;1564;1295;17;6;7;8;5;23;2;3;15;3;4;;1;;143;2;;21;2;;;;;;3;;2;;;;;;;;2;;;;;;;;;;;;;;;
Hilversum;G0402;11285;Noord-Holland;P27;19359;17120;;;17120;4176;3228;2115;3116;1745;544;107;411;116;27;204;33;48;100;68;5;238;153;105;24;100;21;8;63;6;51;73;31;7;66;53;17;25;;;4;;29;;;;;;;;;;;;3;
Hindeloopen;G0077;10672;Fryslân;P21;;475;11;;464;8;161;64;4;1;35;4;1;163;3;2;;;;3;;2;1;;;;;2;1;1;3;1;;3;;;;;;1;;;;;;;;;;;;;;;;
Hoenkoop;G0319;10611;Utrecht;P26;;237;1;2;;125;;53;25;5;5;1;;5;;;3;3;;1;;3;;2;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;
Hoensbroek;G0921;11177;Limburg;P31;2986;2714;142;;2572;1551;738;52;36;2;2;6;70;6;;3;;;19;2;2;6;7;11;22;7;1;;;3;2;;8;;;;4;;10;;2;;;;;;;;;;;;;;;
Hoevelaken;G0253;11358;Gelderland;P25;512;452;;;452;36;13;118;231;8;5;1;5;6;;;1;3;2;;;5;;;5;;;2;2;1;1;;3;;1;1;2;;;;;;;;;;;;;;;;;;;
Hoeven;G0799;10065;Noord-Brabant;P30;1447;1362;;;1359;1321;9;3;5;;3;3;3;;;;;;;1;2;4;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;
Holten;G0165;11246;Overijssel;P23;1786;1668;31;;1637;24;322;234;814;18;42;64;3;22;6;6;;2;3;21;;2;2;;;13;;1;;;2;1;;1;;20;11;;;;2;;1;;;;;;;;;;;;;
Hoogblokland;G0535;11040;Zuid-Holland;P28;388;341;;;341;;33;192;12;60;4;1;2;1;;1;;17;1;;;2;;;;;3;;;1;2;1;;;;1;;3;;;;;;;;;;;;;;4;;;;
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;726;711;;;711;688;;;1;;2;;;;3;;;2;;;7;5;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;2319;2073;;;2073;1091;61;95;560;14;19;47;13;41;49;5;10;;3;;3;9;2;;2;;;;;40;1;;7;;1;;;;;;;;;;;;;;;;;;;;;
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;913;864;;;864;831;1;;24;;;;;1;;;;1;;;1;;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoogeveen;G0118;10839;Drenthe;P22;6282;5426;185;;5241;45;565;2733;1075;42;136;347;4;24;66;13;;10;42;5;;13;6;5;4;53;4;8;;25;5;;;;;;7;;;;1;;3;;;;;;;;;;;;;
Hoogezand;G1083;10410;Groningen;P20;5377;0;;;;361;1916;362;;;412;;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoogkarspel;G0403;10642;Noord-Holland;P27;964;898;6;3;889;431;40;;5;170;209;9;4;;1;4;;;3;;;1;1;;;4;;1;1;;1;;;;;4;;;;;;;;;;;;;;;;;;;;
Hoogland;G0320;10545;Utrecht;P26;1376;0;;;;980;40;73;;;;;;;;;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoogvliet;G1085;10348;Zuid-Holland;P28;579;525;;;525;19;42;194;160;29;3;4;;7;27;;;17;1;;;1;;;;;;2;;13;1;;;;;1;;4;;;;;;;;;;;;;;;;;;
Hoorn;G0405;11392;Noord-Holland;P27;6200;5753;76;90;5590;1568;1693;222;229;815;578;105;13;9;6;74;4;3;32;9;;21;13;23;5;16;6;21;34;3;30;19;6;3;4;15;2;3;;;;;3;;;;;;;;;;;;2;1
Hoornaar;G0536;10516;Zuid-Holland;P28;318;296;1;3;292;1;16;192;;62;11;;;;;;;3;;1;;1;1;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;1;;;;
Horn;G0922;11176;Limburg;P31;641;634;6;6;622;570;6;1;2;3;2;2;;;;;;;;;;;;5;;3;;;;;1;;;;;;19;;8;;;;;;;;;;;;;;;;;
Horssen;G0254;10607;Gelderland;P25;476;454;;;454;395;1;;21;28;;;;;1;;;4;;2;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Horst;G0923;11108;Limburg;P31;2751;2604;8;11;2685;2634;6;4;4;;3;;7;1;;3;;;2;1;;1;2;8;;;1;;;;3;;3;;;;;;2;;;;;;;;;;;;;;;;;
Houten;G0321;10230;Utrecht;P26;1050;1024;7;;;637;30;54;172;16;12;;4;17;;;;62;1;4;;5;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Houthem;G1086;11111;Limburg;P31;684;675;12;7;656;566;26;6;8;;6;13;3;1;;;;;;;;2;2;7;1;2;2;;;;;;1;;;;;;10;;;;;;;;;;;;;;;;;
Huijbergen;G0803;10466;Noord-Brabant;P30;314;303;;;303;286;4;;;;;;1;2;1;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huisseling en Neerloon;G1088;10049;Noord-Brabant;P30;347;321;;;321;316;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;
Huissen;G0255;11047;Gelderland;P25;2128;1921;;;1921;1729;23;3;69;24;6;1;;1;1;2;1;;4;8;2;;;37;;1;;3;;;1;;1;;;2;;;;;1;;;;;;;;;;1;;;;;
Huizen;G0406;11170;Noord-Holland;P27;2933;2662;19;25;2623;8;183;1467;645;45;23;15;9;28;;1;1;13;128;3;;5;4;;;10;6;6;4;3;2;;1;;2;3;2;;;;;;6;;;;;;;;;;;;;
Hulsberg;G0924;11216;Limburg;P31;815;784;18;3;763;688;19;4;3;3;1;5;5;1;;;;;;2;;4;3;8;;1;4;;;;2;;;;;;;;10;;;;;;;;;;;;;;;;;
Hummelo en Keppel;G0256;11235;Gelderland;P25;1561;1403;;;1403;229;187;194;58;447;91;11;6;3;8;4;1;4;3;124;1;2;3;;;1;;19;;1;;;;;;2;;;;;3;;1;;;;;;;;;;;;;
Hunsel;G0925;10784;Limburg;P31;602;581;;;581;560;;2;1;;;;;;;;;;;;1;;;8;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;
Hurwenen;G1089;11432;Gelderland;P25;271;259;2;;257;96;9;12;101;25;4;2;;;1;;;;;;;2;;;;;;1;;;1;;;;;1;1;;;;;;1;;;;;;;;;;;;;
Idaarderadeel;G0078;10815;Fryslân;P21;3162;2930;69;;2861;176;1440;117;3;17;66;641;46;49;13;28;4;;1;22;;6;9;3;2;3;5;102;7;14;18;7;;40;;;;;;22;;;;;;;;;;;;;;;;
IJlst;G0102;11062;Fryslân;P21;770;726;6;;720;6;79;239;8;1;13;25;4;291;4;3;18;;7;10;;2;4;;;;;4;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;
IJsselmonde;G1230;11357;Zuid-Holland;P28;2320;2021;;;2021;20;282;648;690;159;23;15;31;24;22;12;4;30;2;23;;12;2;;2;3;1;2;;2;3;;;;;5;;1;;;2;;;;;;;;;;;1;;;;
IJsselmuiden;G0191;10641;Overijssel;P23;1253;1147;31;;1116;256;36;352;200;8;23;33;6;5;35;2;;47;4;4;;2;1;2;1;2;;;;59;2;;4;;;6;1;;;;24;;1;;;;;;;;;;;;;
IJsselstein;G0353;10152;Utrecht;P26;2084;1974;40;25;;1017;97;126;485;15;11;1;6;19;17;2;;32;3;3;;1;3;3;1;;3;1;4;33;17;2;;;4;1;2;;;;;;;;;;;;;;;;;;;
IJzendoorn;G1231;11430;Gelderland;P25;;270;;;270;7;47;103;;83;4;2;;4;5;;;8;;;;;;1;;;;;;1;;;1;;;;;;;;1;;;;;;;;;;3;;;;;
Ilpendam;G0407;10809;Noord-Holland;P27;1169;14;14;;;210;306;41;;;95;;;;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Itteren;G0926;10458;Limburg;P31;263;253;;;253;244;;;2;;;;1;;;1;;;;;;;;4;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Ittervoort;G1090;10190;Limburg;P31;124;119;;;119;115;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jaarsveld;G1091;10847;Utrecht;P26;749;675;10;7;;46;30;293;133;53;8;3;2;2;6;1;12;54;1;1;;;;3;1;;1;1;;;;1;2;;;4;;;;;;;;;;;;;;;;;;;;
Jabeek;G0927;10256;Limburg;P31;216;205;4;2;199;184;3;;;;;;2;;;;;;;;;;;7;;;;;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;
Jutphaas;G0322;10374;Utrecht;P26;1790;0;;;;824;108;226;;;8;;8;;;;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kamerik;G0323;10554;Utrecht;P26;976;0;;;;315;5;176;;;4;;;;;;;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kampen;G0166;10253;Overijssel;P23;9796;8449;;;8449;971;992;2779;1524;119;356;605;76;67;39;74;29;278;111;37;;58;38;10;14;31;;4;;96;20;14;45;1;6;25;12;;;;9;;9;;;;;;;;;;;;;
Kamperveen;G1092;10443;Overijssel;P23;259;223;;;223;4;2;125;35;3;2;4;4;;8;1;;11;;;;;;;;;;1;;17;;;3;;;1;2;;;;;;;;;;;;;;;;;;;
Katwijk;G0537;10707;Zuid-Holland;P28;5695;0;;;;302;31;250;259;1;1;2;1;5;;2;2;2;6;3;;5;1;5;9;;;;;6;;;1;;;;;2;;;;;;;;;;;;;;;;;;
Katwoude;G0409;11136;Noord-Holland;P27;113;110;0;2;108;13;;14;57;11;1;1;;;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kedichem;G0538;10280;Zuid-Holland;P28;537;485;;;485;2;79;135;10;169;25;10;;1;31;3;;3;2;1;;4;1;;;1;;;;2;;1;;;1;;;1;;;2;;;;;;;;;;;1;;;;
Kerkrade;G0928;10313;Limburg;P31;8298;7465;;;7465;4938;1510;24;59;74;212;26;159;18;;1;;;26;25;7;14;18;38;19;38;5;;;8;169;;41;;4;;7;;22;;3;;;;;;;;;;;;;;;
Kerkwijk;G0257;10791;Gelderland;P25;566;527;6;;521;;11;445;18;22;3;;4;;;2;;;;;;1;;4;;4;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Kessel;G0929;10890;Limburg;P31;696;626;;;626;585;2;4;1;;2;;1;2;;;;;;;1;;;18;;1;2;;;;;;1;;;;;;6;;;;;;;;;;;;;;;;;
Kesteren;G0258;10916;Gelderland;P25;1746;1388;;;1388;10;143;861;16;73;12;3;43;16;9;;;145;2;1;;5;3;2;3;8;3;9;;5;1;;3;;;1;7;;;;;;4;;;;;;;;;;;;;
Kethel en Spaland;G1096;10551;Zuid-Holland;P28;760;752;;;752;360;7;16;300;40;4;1;2;5;5;1;5;3;;;;;;;;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;
Klaaswaal;G0539;10284;Zuid-Holland;P28;931;836;;;836;;92;309;132;134;9;22;3;6;42;9;;38;4;;;4;2;2;7;1;2;;;14;;;;;;;;1;;;3;;;;;;;;;;;;;;;
Klimmen;G0930;10977;Limburg;P31;741;720;;;720;692;8;;5;;;;5;;;;;;;;;;;5;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;
Klundert;G0804;10656;Noord-Brabant;P30;2156;0;;;;677;9;776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kockengen;G0324;10765;Utrecht;P26;421;0;;;;113;1;148;;;2;;;;;;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;4211;3963;59;;3904;9;300;1823;18;8;89;285;9;1182;34;6;11;1;2;52;;7;5;2;1;4;5;28;2;13;1;1;;1;;;;;;5;;;;;;;;;;;;;;;;
