RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond
Rossum;G0276;10860;Gelderland;P25;895;831;0;;831;255;240;87;191;44;1;1;8;;3;1;;
Rotterdam;G0599;10345;Zuid-Holland;P28;420681;372613;0;;372613;158927;48374;39325;24068;44793;35664;5792;8344;1758;1932;896;2327;413
Rozenburg;G0600;11314;Zuid-Holland;P28;1745;1683;0;;1683;294;4;511;629;170;4;;25;44;;1;1;
Rozendaal;G0277;10684;Gelderland;P25;840;769;0;;769;343;114;67;94;73;50;6;;1;4;3;13;1
Rucphen;G0840;11152;Noord-Brabant;P30;5077;4669;0;;4669;371;4063;25;9;10;23;147;3;1;9;8;;
Ruinen;G0127;10629;Drenthe;P22;3127;2827;0;;2827;1225;32;413;277;762;32;3;10;12;47;2;4;8
Ruinerwold;G0128;10944;Drenthe;P22;1758;1659;0;;1659;525;11;364;149;574;6;;;17;9;3;1;
Ruurlo;G0278;10879;Gelderland;P25;2986;2746;0;;2746;906;596;185;172;844;12;11;2;;8;6;4;
Ruwiel;G1164;10526;Utrecht;P26;322;301;0;;301;7;47;71;54;12;;2;108;;;;;
Sas van Gent;G0704;11405;Zeeland;P29;2076;1878;0;;1878;696;812;39;58;175;15;52;7;3;20;1;;
Sassenheim;G0604;10612;Zuid-Holland;P28;4130;3992;0;;3992;351;1693;921;548;170;19;188;55;6;7;10;5;19
Schaesberg;G0960;11335;Limburg;P31;4978;4592;0;;4592;807;3140;68;82;15;239;221;5;7;;6;2;
