RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Overig;Lijst Welter
Bruinisse;G0657;11291;Zeeland;P29;1399;1303;0;;1303;13;368;203;214;200;18;278;9;
Brummen;G0213;10798;Gelderland;P25;6667;6318;0;;6318;470;2848;534;1002;1160;197;24;59;24
Brunssum;G0899;10533;Limburg;P31;8699;8100;0;;8100;5211;1226;321;277;29;866;7;52;111
Budel;G0759;10219;Noord-Brabant;P30;2817;2668;0;;2668;2519;61;14;18;14;5;;3;34
Bunde;G0900;10831;Limburg;P31;921;880;0;;880;790;44;2;;5;15;;3;21
Bunnik;G0312;10820;Utrecht;P26;1335;1273;0;;1273;599;159;183;161;37;21;57;20;36
Bunschoten;G0313;11343;Utrecht;P26;3290;3095;0;;3095;6;61;2898;69;5;7;42;3;4
Buren;G0214;11286;Gelderland;P25;1163;1078;0;;1078;51;447;85;232;145;18;92;7;1
Burgh;G1035;11000;Zeeland;P29;451;463;0;;463;4;163;82;103;80;3;18;9;1
Bussum;G0381;10281;Noord-Holland;P27;19883;17337;0;;17337;4638;3756;2612;1301;2868;1014;231;488;429
Buurmalsen;G0215;10460;Gelderland;P25;1296;1202;0;;1202;47;378;152;389;76;13;137;10;
Cadier en Keer;G0901;11447;Limburg;P31;622;567;0;;567;517;7;1;;1;1;1;1;38
Cadzand;G0658;11002;Zeeland;P29;632;568;0;;568;14;255;81;94;91;9;5;19;
Callantsoog;G0382;10559;Noord-Holland;P27;610;615;0;;615;81;234;39;4;122;127;;3;5
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;4112;3626;0;;3626;57;1351;509;613;339;55;685;14;3
Castricum;G0383;11287;Noord-Holland;P27;3992;4399;0;;4399;2290;1052;245;94;212;426;1;14;65
Chaam;G0760;11433;Noord-Brabant;P30;1209;1141;0;;1141;962;67;24;43;8;6;3;7;21
Clinge;G0659;10965;Zeeland;P29;1718;1451;0;;1451;1271;80;5;10;5;21;5;4;50
