RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;Staatkundig Gereformeerde Partij (SGP);Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij
Nieuwe Tonge;G1119;10502;Zuid-Holland;P28;1178;1004;23;25;956;20;239;288;17;18;11;45;12;38;240;;;;;;;;;;
Nieuwenhagen;G0948;10088;Limburg;P31;1788;1746;37;50;1659;1138;116;10;8;1;233;;87;1;1;3;8;2;;;;2;25;;24
Nieuwenhoorn;G1121;10338;Zuid-Holland;P28;1003;928;9;10;909;7;392;71;12;140;33;200;34;2;2;1;;1;;1;6;;7;;
Nieuwer-Amstel;G1249;10799;Noord-Holland;P27;7680;7426;132;69;7225;1949;727;1883;904;448;643;144;187;209;47;;;;;;;;;;
Nieuwerkerk;G1122;10911;Zeeland;P29;1031;930;16;10;904;2;82;290;104;46;43;140;2;1;187;;;18;;1;2;1;1;;
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;1913;1731;22;54;1655;103;344;340;197;74;63;158;9;4;206;1;3;133;;17;1;1;1;;
Nieuweschans;G0031;10008;Groningen;P20;1050;965;8;45;912;10;306;101;38;128;36;11;238;34;2;;;;;3;4;;1;;
Nieuw-Helvoet;G1118;10264;Zuid-Holland;P28;1315;1205;14;20;1171;8;350;233;63;224;36;181;28;12;14;2;2;2;;;11;;5;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;1619;1536;19;8;1509;780;85;142;212;33;112;56;7;3;50;2;;1;;11;9;1;5;;
Nieuwland;G0570;11213;Zuid-Holland;P28;341;301;0;3;298;1;52;120;10;3;;63;2;;29;3;;;;10;4;;1;;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;1934;1751;15;45;1691;3;266;496;55;96;20;110;13;3;437;;;;;;;;;;
Nieuwleusen;G0170;10384;Overijssel;P23;2004;1897;30;58;1809;6;187;552;559;170;108;76;5;23;96;5;1;4;2;4;4;1;6;;
Nieuwolda;G0032;10126;Groningen;P20;1099;1024;15;11;998;8;287;211;155;103;60;55;41;55;2;7;;6;;;7;;;1;
Nieuwpoort;G0572;10748;Zuid-Holland;P28;418;375;4;6;365;1;39;137;5;39;3;21;3;;91;;;;;;;;;;
Nieuwstadt;G0949;11140;Limburg;P31;594;581;3;11;567;485;5;1;2;;70;;1;;;;2;1;;;;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;974;828;24;12;792;296;33;202;98;47;23;41;5;3;24;2;;6;;1;9;;2;;
Nieuwvliet;G0690;11165;Zeeland;P29;289;265;7;1;257;2;33;77;8;54;10;71;1;;;;;;;;;;1;;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;784;749;14;14;721;651;16;14;10;2;4;4;2;2;5;;1;;3;;;6;1;;
Nigtevecht;G0337;10160;Utrecht;P26;385;362;3;5;354;22;43;96;139;11;23;9;6;;1;;;2;;2;;;;;
Nijeveen;G0121;10774;Drenthe;P22;778;743;6;6;731;1;43;192;206;130;57;62;;32;1;2;1;;;;;;4;;
Nijkerk;G0267;10446;Gelderland;P25;5274;5004;69;67;4868;318;693;1509;1474;62;87;74;20;50;264;6;1;20;4;274;5;1;4;2;
Nijmegen;G0268;11209;Gelderland;P25;47287;44869;742;1220;42907;24499;7743;2397;1577;831;1708;981;664;149;45;167;947;57;470;13;36;553;25;45;
Nisse;G0691;11086;Zeeland;P29;332;304;7;1;296;61;2;35;102;37;;5;1;;43;1;;7;;;2;;;;
Nistelrode;G0819;10094;Noord-Brabant;P30;1403;1365;7;7;1351;1229;21;3;;2;8;2;;;;1;2;;82;;;;;1;
Noorbeek;G0950;10283;Limburg;P31;409;381;12;27;342;310;6;3;;3;10;1;;1;;;;1;6;;;1;;;
Noordbroek;G1126;10814;Groningen;P20;1193;1103;15;42;1046;10;408;91;15;150;88;68;54;110;;23;;6;;3;20;;;;
Noorddijk;G1127;10979;Groningen;P20;1290;1219;28;52;1139;27;376;167;41;144;130;57;15;149;2;5;;3;;2;13;2;6;;
Noordeloos;G0574;10296;Zuid-Holland;P28;656;623;6;3;614;;49;286;19;11;11;107;;1;51;;;5;;66;5;;3;;
Noordgouwe;G1128;11107;Zeeland;P29;508;473;8;11;454;9;82;121;72;77;12;50;2;3;20;;;2;;;;;;4;
Noord-Scharwoude;G1124;10075;Noord-Holland;P27;1093;1035;8;2;1025;354;187;130;7;220;34;8;38;6;;1;17;;;;23;;;;
Noordwelle;G1129;10055;Zeeland;P29;256;233;2;2;229;2;56;30;34;38;5;47;;1;13;;1;;;1;;;1;;
Noordwijk;G0575;10769;Zuid-Holland;P28;5748;5013;53;66;4894;2206;367;791;643;72;205;109;46;279;29;26;8;83;;9;15;2;4;;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;3305;2638;7;5;2626;2197;85;74;183;11;25;9;;22;5;1;10;;;;;2;2;;
Nootdorp;G0577;10601;Zuid-Holland;P28;720;685;5;3;677;376;44;64;117;12;25;19;;;11;;1;6;;;1;;1;;
Norg;G0120;10608;Drenthe;P22;1941;1850;20;42;1788;61;395;306;110;246;214;248;29;142;2;2;5;1;1;1;5;;16;3;1
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;2029;1969;7;18;1944;1696;47;26;54;6;55;4;4;;;;12;;33;;1;4;1;1;
Nuland;G0821;10118;Noord-Brabant;P30;693;674;7;3;664;624;1;;2;3;;1;;;;;;;30;;;2;;1;
Numansdorp;G0578;11346;Zuid-Holland;P28;2361;2178;20;60;2098;14;485;611;303;71;49;220;10;4;194;3;;8;;117;4;;4;1;
Nunhem;G1130;10736;Limburg;P31;174;169;0;3;166;161;;;;;3;1;;;;;;;;;;;;1;
Nuth;G0951;10104;Limburg;P31;1678;1607;30;34;1543;1353;74;18;19;8;55;;6;;;;2;;1;;2;3;;1;1
Obbicht en Papenhoven;G0952;10388;Limburg;P31;624;605;12;19;574;465;9;10;4;;65;;2;;;;14;;2;;3;;;;
Obdam;G0429;11338;Noord-Holland;P27;829;801;2;1;798;679;33;;3;58;4;13;6;2;;;;;;;;;;;
Odijk;G1131;11003;Utrecht;P26;245;232;1;3;228;134;10;21;32;1;4;;;;26;;;;;;;;;;
Odoorn;G0122;11320;Drenthe;P22;5834;5525;78;234;5213;278;1691;636;526;408;422;480;64;557;4;76;12;13;2;2;12;;27;;3
Oeffelt;G0822;10360;Noord-Brabant;P30;679;660;2;4;654;575;7;;;2;2;1;1;;1;;;;60;;;4;;1;
Oegstgeest;G0579;10287;Zuid-Holland;P28;4334;4078;36;48;3994;873;310;983;653;306;209;377;16;48;72;3;10;89;;5;10;;3;27;
Ohé en Laak;G0953;10420;Limburg;P31;299;293;3;3;287;277;1;;2;2;2;;;;;;;;;;;;;3;
Oijen en Teeffelen;G1150;10869;Noord-Brabant;P30;429;425;4;3;418;327;6;7;5;2;;3;2;;1;2;;1;60;1;;;;1;
Oirsbeek;G0954;10504;Limburg;P31;910;885;6;7;872;825;8;1;4;2;22;2;2;;;;;;2;;;3;;;1
Oirschot;G0823;10225;Noord-Brabant;P30;2514;2426;16;10;2400;2288;22;7;9;3;6;2;;;1;;7;;17;;10;28;;;
Oisterwijk;G0824;10103;Noord-Brabant;P30;3359;3417;34;53;3330;2191;194;64;20;20;21;27;14;;1;1;40;;16;1;1;711;3;4;1
Oldebroek;G0269;11106;Gelderland;P25;4535;4287;86;108;4093;127;518;1711;790;56;42;60;25;87;340;5;3;198;2;107;6;1;14;;1
Oldehove;G0035;10298;Groningen;P20;1251;1195;10;6;1179;6;199;574;69;102;61;84;3;71;1;;;;;;6;;1;2;
Oldekerk;G0036;11332;Groningen;P20;981;928;12;8;908;1;95;532;44;64;34;74;;51;;;;;;;11;;1;1;
Oldemarkt;G0172;10858;Overijssel;P23;1575;1482;11;16;1455;175;168;177;626;50;25;67;6;140;;;1;6;;;12;1;1;;
Oldenzaal;G0173;11100;Overijssel;P23;4940;4795;53;46;4696;3145;444;145;166;70;169;110;17;33;2;2;383;1;1;;2;;2;1;3
Olst;G0174;10409;Overijssel;P23;3272;3101;22;39;3040;755;924;343;118;637;102;79;16;18;19;12;;1;3;;2;;10;1;
Ommen;G0175;11069;Overijssel;P23;4260;4077;34;41;4002;320;293;1353;828;244;124;96;13;38;21;3;7;598;2;18;35;3;1;4;1
Onstwedde;G1250;10610;Groningen;P20;9039;8433;138;173;8122;830;1762;1882;873;480;372;104;194;1355;16;74;6;128;;3;35;1;6;1;
Ooltgensplaat;G1133;11163;Zuid-Holland;P28;1686;1568;26;21;1521;281;302;401;21;49;6;75;17;3;234;3;;3;;119;3;2;1;;
Oost- en West-Souburg;G1135;11396;Zeeland;P29;2876;2694;47;56;2591;56;684;809;696;168;26;45;21;13;58;2;;1;;3;4;;5;;
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;677;658;1;2;655;643;1;1;4;;;2;;;;;;;1;;;1;;2;
Oostburg;G0692;10782;Zeeland;P29;1628;1532;29;22;1481;410;233;262;70;204;63;193;4;5;26;2;3;2;;2;;1;1;;
Oostdongeradeel;G0084;11102;Fryslân;P21;4301;4110;36;29;4045;9;158;2292;1044;108;36;197;9;149;3;3;;9;;8;9;;11;;
Oosterhesselen;G0123;10490;Drenthe;P22;1408;1378;29;25;1324;4;344;433;86;119;138;147;3;34;6;;2;;1;2;1;;4;;
Oosterhout;G0826;11280;Noord-Brabant;P30;7643;7237;72;95;7070;6618;126;54;33;14;137;6;6;3;6;1;39;;;3;1;12;4;1;6
Oosterland;G1136;11237;Zeeland;P29;1072;932;18;21;893;4;162;169;131;62;8;145;;;207;5;;;;;;;;;
Oosthuizen;G0430;11121;Noord-Holland;P27;564;528;3;8;517;23;172;32;11;161;58;35;4;8;1;3;2;1;;;4;;2;;
Oostkapelle;G1137;10720;Zeeland;P29;842;790;5;3;782;5;23;269;234;56;13;30;;1;124;;;17;;2;;;6;2;
Ooststellingwerf;G0085;10836;Fryslân;P21;7818;7299;99;213;6987;57;1985;1374;774;1178;202;77;508;686;15;20;9;7;;3;35;;55;2;
Oostvoorne;G0581;10009;Zuid-Holland;P28;2198;2066;26;53;1987;48;636;279;79;271;114;305;104;18;2;103;1;;;;3;;21;3;
Oostzaan;G0431;11303;Noord-Holland;P27;2366;2251;27;46;2178;24;771;460;34;247;71;105;278;50;36;;;;;;;;;;
Ootmarsum;G0176;11079;Overijssel;P23;781;750;4;4;742;602;12;28;12;21;26;3;3;19;1;1;13;;;;;;;;1
Ophemert;G0270;10829;Gelderland;P25;729;651;21;29;601;8;158;205;66;43;17;18;;24;33;;;2;2;;;;24;1;
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;1268;1228;1;4;1223;1187;2;1;3;;1;1;;;1;;;;23;;2;;2;;
Opmeer;G0432;10609;Noord-Holland;P27;261;247;1;0;246;150;39;3;;31;5;11;2;;;;;;;;;;;;
Opperdoes;G0433;10523;Noord-Holland;P27;599;579;4;2;573;3;53;289;114;34;19;26;2;9;22;1;;;;;;;;;
Opsterland;G0086;10005;Fryslân;P21;10710;9892;171;280;9441;56;2661;2001;621;1429;126;286;907;1138;32;57;5;6;;4;51;5;54;2;
Oss;G0828;10834;Noord-Brabant;P30;7356;7151;65;138;6948;4316;564;142;30;141;210;44;15;4;4;9;304;7;1124;2;3;11;7;11;
Ossendrecht;G0829;10929;Noord-Brabant;P30;1435;1358;37;72;1249;907;231;25;9;7;40;4;3;;3;1;11;1;;;1;2;3;;1
Oterleek;G0434;10133;Noord-Holland;P27;460;425;4;6;415;55;69;30;16;152;20;37;22;2;1;8;;2;;1;;;;;
Ottersum;G0955;10862;Limburg;P31;1121;1085;11;12;1062;778;12;3;;2;32;2;1;;;;;1;227;;;;1;3;
Ottoland;G0582;10097;Zuid-Holland;P28;338;308;5;2;301;1;8;192;12;11;1;1;;;39;;;2;;34;;;;;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;3094;2963;27;94;2842;2626;49;5;23;4;64;;6;1;1;3;42;3;1;1;3;4;4;;2
Oud-Alblas;G0583;10826;Zuid-Holland;P28;626;572;3;4;565;2;35;189;24;10;18;23;4;;115;;;;;;;;;;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;3419;3164;38;55;3071;132;535;1120;129;100;48;254;20;10;524;1;;33;;155;;1;2;7;
Ouddorp;G1142;11126;Zuid-Holland;P28;1992;1595;20;19;1556;7;71;409;28;24;7;115;25;3;332;2;;10;;521;;1;1;;
Oude Niedorp;G0436;10896;Noord-Holland;P27;679;652;5;5;642;421;80;9;4;89;6;5;18;4;;3;;;;;2;;1;;
Oude Pekela;G0038;10848;Groningen;P20;3679;3329;49;47;3233;229;1244;389;126;274;121;87;412;316;12;2;4;1;;5;8;;2;1;
Oude Tonge;G1143;10714;Zuid-Holland;P28;1724;1511;10;27;1474;377;353;179;16;39;12;97;9;9;343;4;;8;;10;12;5;;;
Oudelande;G0695;11139;Zeeland;P29;458;430;10;12;408;30;37;94;130;41;13;32;1;1;23;;;;;;3;;3;;
Oudenbosch;G0830;10397;Noord-Brabant;P30;2764;2638;37;45;2556;2371;70;19;39;7;16;3;2;;1;1;21;1;;;1;3;;1;
Oudendijk;G0435;11090;Noord-Holland;P27;292;278;0;1;277;3;124;11;8;78;11;10;4;8;2;9;;;;1;2;;6;;
Oudenhoorn;G0586;10380;Zuid-Holland;P28;533;499;2;13;484;1;201;78;28;46;19;53;12;36;4;;;2;;1;;;3;;
Oudenrijn;G1144;10114;Utrecht;P26;564;543;1;12;530;219;31;130;60;16;35;23;;3;5;;;;;5;2;;1;;
Ouder-Amstel;G0437;10998;Noord-Holland;P27;2355;2221;18;14;2189;939;163;419;351;51;142;37;25;38;6;;4;7;;5;;1;;1;
Ouderkerk aan den IJssel;G0587;10095;Zuid-Holland;P28;1884;1481;24;17;1440;3;122;496;16;63;70;96;8;3;472;4;2;4;;64;;;17;;
Oudewater;G0589;10188;Zuid-Holland;P28;1611;1555;15;9;1531;765;123;236;162;24;69;49;1;;63;1;2;7;;20;6;1;2;;
Oudkarspel;G1146;11051;Noord-Holland;P27;1065;1045;9;6;1030;216;341;57;6;204;36;5;135;4;1;;18;;;1;6;;;;
Oudorp;G0438;10363;Noord-Holland;P27;950;912;8;9;895;454;136;78;20;115;24;8;15;13;;3;14;;;;14;;1;;
Oud-Valkenburg;G1140;10868;Limburg;P31;565;549;5;28;516;443;4;3;2;3;48;;;1;;;;;8;;3;;;;1
Oud-Vossemeer;G0696;10134;Zeeland;P29;1177;1079;25;9;1045;239;43;262;184;57;52;52;6;;106;3;;4;;29;2;6;;;
Ouwerkerk;G1148;10968;Zeeland;P29;387;356;8;4;344;;108;44;11;84;8;55;2;;30;;;;;;;;2;;
Overasselt;G0271;10952;Gelderland;P25;1196;1142;8;2;1132;924;;4;3;9;7;1;;3;;;;;177;;1;;1;;
Overschie;G1149;10683;Zuid-Holland;P28;5129;4894;92;80;4722;652;845;1043;993;201;330;281;144;36;91;4;39;28;;6;14;;8;7;
Overslag;G0697;10730;Zeeland;P29;126;120;5;9;106;82;2;7;5;;3;;2;;4;;;1;;;;;;;
Ovezande;G0698;11422;Zeeland;P29;666;629;4;3;622;501;1;18;87;8;;5;1;;;1;;;;;;;;;
Pannerden;G0272;10518;Gelderland;P25;676;606;6;0;600;406;3;5;;1;;;1;;1;;;;183;;;;;;
Papekop;G1151;11244;Zuid-Holland;P28;202;183;0;2;181;55;4;52;42;1;3;;;;16;;;;;;;;;;
Papendrecht;G0590;10427;Zuid-Holland;P28;2552;2222;13;52;2157;23;480;899;68;99;29;76;68;5;196;;;;;;;;;;
Peize;G0124;10501;Drenthe;P22;1310;1236;14;48;1174;11;401;102;17;149;170;67;70;157;2;8;1;2;1;1;7;;7;;1
Peursum;G1154;10391;Zuid-Holland;P28;223;206;1;2;203;;13;114;8;11;;33;1;;21;;;2;;;;;;;
Philippine;G0699;10486;Zeeland;P29;508;472;15;11;446;310;40;20;7;2;52;1;4;2;2;;5;;;;1;;;;
Piershil;G0591;10179;Zuid-Holland;P28;485;423;3;12;408;1;80;119;29;12;12;33;2;;110;1;;5;;1;2;;1;;
Pijnacker;G0594;10031;Zuid-Holland;P28;2923;2836;16;33;2787;881;240;422;648;66;158;84;8;14;200;2;9;40;;5;6;1;3;;
Poederoijen;G1155;10135;Gelderland;P25;645;553;7;8;538;2;54;198;24;21;8;1;2;;197;;1;2;;22;;;6;;
Polsbroek;G0338;10993;Utrecht;P26;464;445;2;1;442;72;12;183;8;10;13;9;1;;60;2;;2;;69;1;;;;
Poortugal;G0592;11395;Zuid-Holland;P28;1391;1214;14;33;1167;95;304;263;138;31;115;140;2;32;33;4;3;1;;2;;;4;;
Poortvliet;G0700;11181;Zeeland;P29;951;813;10;10;793;2;19;154;97;43;41;24;5;;385;5;;11;;5;2;;;;
Posterholt;G0956;10456;Limburg;P31;850;823;14;11;798;725;9;;;4;22;;1;;;;1;;;;;3;;;
Princenhage;G1156;10762;Noord-Brabant;P30;5803;5592;77;106;5409;4749;282;112;38;20;57;16;9;;6;4;67;3;5;1;4;28;1;3;4
Purmerend;G0439;11066;Noord-Holland;P27;3530;3363;31;31;3301;853;839;264;53;567;190;96;174;56;6;74;91;;;2;25;2;7;2;
Putte;G0833;10099;Noord-Brabant;P30;693;669;24;4;641;553;21;21;5;8;6;9;2;;;2;11;;;;;2;1;;
Putten;G0273;11109;Gelderland;P25;4174;4022;27;80;3915;95;452;778;1679;52;78;52;29;13;332;10;1;4;2;334;3;;1;;
Puttershoek;G0593;10222;Zuid-Holland;P28;1255;1125;16;14;1095;37;236;358;195;60;11;82;13;3;84;2;;6;;3;2;;3;;
Raalte;G0177;10279;Overijssel;P23;4897;4693;25;23;4645;3285;317;125;634;166;40;33;5;8;2;4;4;3;6;;2;1;8;2;
Raamsdonk;G0834;11391;Noord-Brabant;P30;3401;2933;23;39;2871;2071;80;164;386;21;23;25;5;3;61;;3;3;5;11;4;2;3;;1
Rauwerderhem;G0087;10330;Fryslân;P21;1527;1419;26;10;1383;179;452;186;75;308;18;64;18;79;;1;1;;;;1;1;;;
Ravenstein;G0835;10805;Noord-Brabant;P30;1247;1177;4;4;1169;1065;12;8;2;4;1;;3;;;1;2;;70;;;1;;;
Reek;G1158;10671;Noord-Brabant;P30;545;536;1;0;535;508;2;1;;1;;;;;1;;;;22;;;;;;
Reeuwijk;G0595;10485;Zuid-Holland;P28;2225;2164;10;37;2117;609;298;493;132;48;77;198;15;13;155;11;6;7;;50;;;5;;
Renesse;G1159;10412;Zeeland;P29;405;376;6;2;368;3;65;53;57;63;12;99;2;;12;;;;;;1;;1;;
Renkum;G0274;11325;Gelderland;P25;10849;10294;136;186;9972;1937;1923;2232;1308;663;360;860;104;52;169;14;6;167;20;108;12;10;4;21;2
Renswoude;G0339;10269;Utrecht;P26;941;882;18;12;852;28;68;413;114;29;34;20;2;2;112;;1;8;;16;4;;1;;
Retranchement;G0701;10400;Zeeland;P29;405;383;2;17;364;11;114;93;14;66;3;55;;;4;;1;;;;;;2;1;
Reusel;G0836;10162;Noord-Brabant;P30;989;983;3;2;978;960;;3;1;2;5;1;;;;;1;;;4;;1;;;
Rheden;G0275;11355;Gelderland;P25;14797;14054;159;308;13587;2120;4073;2332;2345;649;626;1021;87;60;34;23;38;66;15;3;10;6;36;38;5
Rhenen;G0340;10309;Utrecht;P26;4252;3942;61;76;3805;56;1282;665;625;94;84;138;33;11;671;6;3;27;;90;17;;2;1;
Rhoon;G0596;10903;Zuid-Holland;P28;1202;1137;9;11;1117;146;151;277;383;19;48;46;5;8;20;;4;2;;3;1;;4;;
Ridderkerk;G0597;10646;Zuid-Holland;P28;7579;7114;83;136;6895;34;1258;2174;839;252;212;437;40;108;1375;9;6;24;;104;15;2;3;3;
Riethoven;G0837;10455;Noord-Brabant;P30;344;339;2;0;337;336;;;;;;;;;;;;;1;;;;;;
Rietveld;G1160;10828;Zuid-Holland;P28;314;274;4;2;268;67;16;47;88;2;10;9;3;;20;;;;;;;;;;
Rijckholt;G1165;10824;Limburg;P31;182;175;0;4;171;167;2;;;;2;;;;;;;;;;;;;;
Rijnsaterwoude;G0601;11129;Zuid-Holland;P28;328;305;1;6;298;124;14;53;42;12;4;6;2;1;39;;;1;;;;;;;
Rijnsburg;G0602;11118;Zuid-Holland;P28;2124;2053;8;36;2009;60;43;970;478;4;46;7;;103;46;;2;242;;4;3;;;1;
Rijsbergen;G0841;10866;Noord-Brabant;P30;1172;1139;17;20;1102;1035;19;16;5;4;15;2;1;;1;;4;;;;;;;;
Rijssen;G0178;10358;Overijssel;P23;4962;4396;47;87;4262;516;511;646;171;73;75;35;34;56;1567;27;12;6;1;518;10;2;1;1;
Rijswijk;G0603;11133;Zuid-Holland;P28;9865;9552;97;118;9337;2648;1398;1820;574;827;677;934;74;60;54;22;60;106;;9;16;7;1;50;
Rijswijk (NB);G0842;11016;Noord-Brabant;P30;359;319;2;5;312;;23;154;107;7;2;6;;;1;;;5;;2;1;2;2;;
Rilland-Bath;G0702;10479;Zeeland;P29;1170;1069;25;10;1034;112;97;165;359;45;23;61;6;2;157;3;;;;1;;1;2;;
Ritthem;G1163;10652;Zeeland;P29;384;366;4;1;361;;6;94;216;6;3;5;;;28;;;1;;1;;;1;;
Rockanje;G0598;10464;Zuid-Holland;P28;1686;1525;45;35;1445;3;336;261;55;303;106;108;140;52;6;49;2;3;;1;3;3;13;1;
Roden;G0125;10699;Drenthe;P22;2800;2620;25;60;2535;15;619;490;149;397;215;102;137;368;4;3;;3;;1;26;;3;2;1
Roermond;G0957;11313;Limburg;P31;8275;7861;141;393;7327;5690;359;222;39;140;573;44;62;5;5;11;24;8;8;;5;8;7;112;5
Roggel;G0958;10505;Limburg;P31;1013;986;1;7;978;970;1;;;;4;;1;;;;;;1;;;;1;;
Rolde;G0126;10470;Drenthe;P22;1721;1629;22;36;1571;9;437;148;41;400;278;184;9;21;2;2;1;6;1;;2;;29;1;
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;12102;11541;162;349;11030;8119;965;213;122;84;369;33;48;16;14;6;948;7;4;3;20;20;12;2;25
Roosteren;G0959;10954;Limburg;P31;563;520;13;15;492;409;8;1;;1;63;;;1;;;1;;1;;;1;;6;
Rosmalen;G0839;10970;Noord-Brabant;P30;2428;2269;31;23;2215;1731;21;18;8;6;14;4;;;5;;6;;386;2;1;;2;8;
Rossum;G0276;10860;Gelderland;P25;789;707;22;8;677;202;80;112;39;46;4;15;3;1;20;;1;2;24;;;;128;;
Rotterdam;G0599;10345;Zuid-Holland;P28;332706;309802;9474;9471;290857;42834;110401;57806;13453;10373;12279;11690;12390;2311;5735;6831;1435;1633;;603;297;142;111;378;143
Rozenburg;G0600;11314;Zuid-Holland;P28;1399;1333;13;14;1306;3;105;482;487;43;33;95;3;7;26;;;3;;;15;1;3;;
Rozendaal;G0277;10684;Gelderland;P25;255;232;6;6;232;5;25;58;36;38;15;42;0;2;;;;;;;;;;;
Rucphen;G0840;11152;Noord-Brabant;P30;3381;3222;48;61;3113;2850;46;13;9;18;42;4;1;1;1;1;52;3;3;;9;56;2;;3
Ruinen;G0127;10629;Drenthe;P22;2338;2224;42;30;2152;18;502;418;164;438;260;269;8;17;1;11;3;5;2;8;1;;23;3;1
Ruinerwold;G0128;10944;Drenthe;P22;1500;1416;11;20;1385;6;174;363;116;395;165;141;2;13;1;1;1;1;1;;2;;1;;2
Ruurlo;G0278;10879;Gelderland;P25;2316;2207;42;76;2089;465;371;288;63;379;195;132;6;15;1;6;;8;1;;1;38;119;;1
Ruwiel;G1164;10526;Utrecht;P26;290;272;5;7;260;52;5;81;20;1;2;2;;;55;;;30;;9;;;3;;
Sambeek;G1167;10339;Noord-Brabant;P30;1244;1255;2;3;1250;1212;3;1;11;;1;;1;;;;2;;18;;1;;;;
Sappemeer;G1168;10080;Groningen;P20;3899;3651;58;99;3494;367;1164;390;75;578;109;47;558;117;7;8;4;4;;2;57;1;5;1;
Sas van Gent;G0704;11405;Zeeland;P29;1523;1388;50;65;1273;612;368;96;21;26;21;99;8;7;6;2;3;1;;1;;2;;;
Sassenheim;G0604;10612;Zuid-Holland;P28;2724;2641;9;19;2613;1238;140;609;344;55;72;37;2;43;52;;8;7;;;;;;6;
Schaesberg;G0960;11335;Limburg;P31;3000;2929;68;101;2760;1983;302;66;52;12;198;2;75;15;;2;13;4;12;;1;3;;;20
Schagen;G0441;10511;Noord-Holland;P27;2362;2174;24;22;2128;490;497;77;24;748;86;74;88;14;6;4;9;4;;2;1;2;1;1;
Schaijk;G0843;10276;Noord-Brabant;P30;1014;982;2;4;976;908;2;;;1;1;;;;;;;;63;;;1;;;
Schalkwijk;G1169;10378;Utrecht;P26;683;673;5;1;667;560;8;32;16;5;5;2;2;2;18;;1;13;;1;;;2;;
Scheemda;G0039;10711;Groningen;P20;3781;3544;22;61;3461;24;917;643;504;457;169;77;217;417;4;2;1;13;;1;12;2;;1;
Schellinkhout;G0442;10772;Noord-Holland;P27;338;318;2;4;312;19;56;19;6;104;26;65;1;2;;;;;;;;;;;
Schelluinen;G0605;11399;Zuid-Holland;P28;234;223;4;7;212;;74;38;;6;5;5;2;1;63;;;;;4;;;14;;
Schermerhorn;G0443;10308;Noord-Holland;P27;590;566;6;6;554;157;112;89;5;99;28;18;13;18;2;1;4;4;;;4;;;;
Scherpenisse;G0705;10375;Zeeland;P29;801;658;8;21;629;1;83;87;28;36;16;54;4;;288;3;;14;;9;5;;1;;
Scherpenzeel;G0279;11146;Gelderland;P25;1035;957;22;2;933;1;188;289;229;16;38;43;;2;97;;;;;;;;;;
Schiebroek;G1170;11306;Zuid-Holland;P28;3562;3392;63;106;3223;551;528;863;279;196;337;281;55;39;31;6;14;22;;2;3;4;2;10;
Schiedam;G0606;11260;Zuid-Holland;P28;32120;30698;397;537;29764;7556;8447;4765;3228;1034;903;1262;1193;221;458;77;368;99;;66;33;21;11;22;
Schiermonnikoog;G0088;10355;Fryslân;P21;415;384;2;1;381;7;44;117;28;114;7;32;4;28;;;;;;;;;;;
Schijndel;G0844;11178;Noord-Brabant;P30;3979;3836;20;29;3787;3203;102;6;10;6;10;1;4;;3;1;8;;423;;;3;2;4;
Schimmert;G0961;11076;Limburg;P31;824;816;9;7;800;773;4;;;;18;;4;;;;;;1;;;;;;
Schin op Geul;G1171;10780;Limburg;P31;667;652;9;9;634;596;2;1;;;27;;2;;;;1;;1;;;1;;1;2
Schinnen;G0962;10132;Limburg;P31;1716;1653;20;34;1599;1507;28;4;6;;45;;3;;;;2;;1;;;2;1;;
Schinveld;G0963;10492;Limburg;P31;1208;1166;20;18;1128;994;28;13;9;2;72;;6;;;;;;1;;;;;1;2
Schipluiden;G0607;10130;Zuid-Holland;P28;1748;1677;8;4;1665;953;46;306;256;6;26;6;5;2;32;;;17;;;;;2;;
